date,source,destination,vehicle_type,rental_count,spot_count,capacity_desi
2026-05-16,Eskişehir,İstanbul,Kamyonet,0,1,5600
2026-05-17,Eskişehir,İstanbul,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Şanlıurfa,Kamyon,0,1,12000
2026-05-12,Eskişehir,Şanlıurfa,Kamyonet,0,1,5600
2026-05-13,Eskişehir,Şanlıurfa,Kamyonet,0,1,5600
2026-05-14,Eskişehir,Şanlıurfa,Kamyonet,0,1,5600
2026-05-15,Eskişehir,Şanlıurfa,Kamyonet,0,1,5600
2026-05-16,Eskişehir,Şanlıurfa,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Şanlıurfa,Kamyonet,0,1,5600
2026-05-11,Kocaeli,Balıkesir,Tır,0,2,44800
2026-05-12,Kocaeli,Balıkesir,Tır,0,1,22400
2026-05-12,Kocaeli,Balıkesir,Kamyon,1,0,12000
2026-05-13,Kocaeli,Balıkesir,Tır,0,1,22400
2026-05-13,Kocaeli,Balıkesir,Kamyon,1,0,12000
2026-05-14,Kocaeli,Balıkesir,Tır,0,1,22400
2026-05-14,Kocaeli,Balıkesir,Kamyon,1,0,12000
2026-05-15,Kocaeli,Balıkesir,Kamyon,1,1,24000
2026-05-16,Kocaeli,Balıkesir,Kamyon,1,0,12000
2026-05-17,Kocaeli,Balıkesir,Kamyon,1,0,12000
2026-05-11,Kocaeli,Bilecik,Kamyon,0,2,24000
2026-05-12,Kocaeli,Bilecik,Tır,0,1,22400
2026-05-13,Kocaeli,Bilecik,Tır,0,1,22400
2026-05-14,Kocaeli,Bilecik,Tır,0,1,22400
2026-05-15,Kocaeli,Bilecik,Tır,0,1,22400
2026-05-16,Kocaeli,Bilecik,Kamyon,0,1,12000
2026-05-17,Kocaeli,Bilecik,Kamyon,0,1,12000
2026-05-11,Kocaeli,Erzincan,Tır,0,1,22400
2026-05-12,Kocaeli,Erzincan,Tır,0,1,22400
2026-05-13,Kocaeli,Erzincan,Tır,0,1,22400
2026-05-14,Kocaeli,Erzincan,Kamyon,0,1,12000
2026-05-15,Kocaeli,Erzincan,Kamyon,0,1,12000
2026-05-16,Kocaeli,Erzincan,Kamyon,0,1,12000
2026-05-17,Kocaeli,Erzincan,Kamyonet,0,1,5600
2026-05-11,Kocaeli,Eskişehir,Tır,0,1,22400
2026-05-11,Kocaeli,Eskişehir,Kamyon,1,0,12000
2026-05-12,Kocaeli,Eskişehir,Tır,0,1,22400
2026-05-13,Kocaeli,Eskişehir,Tır,0,1,22400
2026-05-14,Kocaeli,Eskişehir,Kamyon,1,0,12000
2026-05-14,Kocaeli,Eskişehir,Kamyonet,0,1,5600
2026-05-15,Kocaeli,Eskişehir,Kamyon,1,0,12000
2026-05-15,Kocaeli,Eskişehir,Kamyonet,0,1,5600
2026-05-16,Kocaeli,Eskişehir,Kamyon,1,0,12000
2026-05-17,Kocaeli,Eskişehir,Kamyon,1,0,12000
2026-05-11,Kocaeli,Isparta,Kamyon,0,1,12000
2026-05-12,Kocaeli,Isparta,Kamyon,0,1,12000
2026-05-13,Kocaeli,Isparta,Kamyon,0,1,12000
2026-05-14,Kocaeli,Isparta,Kamyon,0,1,12000
2026-05-15,Kocaeli,Isparta,Kamyon,0,1,12000
2026-05-16,Kocaeli,Isparta,Kamyonet,0,1,5600
2026-05-17,Kocaeli,Isparta,Kamyonet,0,1,5600
2026-05-11,Kocaeli,Kütahya,Tır,0,1,22400
2026-05-12,Kocaeli,Kütahya,Tır,0,1,22400
2026-05-13,Kocaeli,Kütahya,Tır,0,1,22400
2026-05-14,Kocaeli,Kütahya,Kamyon,0,1,12000
2026-05-15,Kocaeli,Kütahya,Kamyon,0,1,12000
2026-05-16,Kocaeli,Kütahya,Kamyonet,0,1,5600
2026-05-17,Kocaeli,Kütahya,Kamyonet,0,1,5600
2026-05-11,Kocaeli,Manisa,Kamyon,0,2,24000
2026-05-12,Kocaeli,Manisa,Tır,0,1,22400
2026-05-13,Kocaeli,Manisa,Tır,0,1,22400
2026-05-14,Kocaeli,Manisa,Tır,0,1,22400
2026-05-15,Kocaeli,Manisa,Tır,0,1,22400
2026-05-16,Kocaeli,Manisa,Kamyon,0,1,12000
2026-05-17,Kocaeli,Manisa,Kamyon,0,1,12000
2026-05-11,Kocaeli,Mardin,Tır,0,1,22400
2026-05-12,Kocaeli,Mardin,Tır,0,1,22400
2026-05-13,Kocaeli,Mardin,Tır,0,1,22400
2026-05-14,Kocaeli,Mardin,Kamyon,0,1,12000
2026-05-15,Kocaeli,Mardin,Kamyon,0,1,12000
2026-05-16,Kocaeli,Mardin,Kamyonet,0,1,5600
2026-05-17,Kocaeli,Mardin,Kamyonet,0,1,5600
2026-05-11,Kocaeli,Mersin,Tır,0,1,22400
2026-05-11,Kocaeli,Mersin,Kamyon,0,1,12000
2026-05-12,Kocaeli,Mersin,Tır,0,1,22400
2026-05-12,Kocaeli,Mersin,Kamyonet,0,1,5600
2026-05-13,Kocaeli,Mersin,Kamyon,0,2,24000
2026-05-14,Kocaeli,Mersin,Tır,0,1,22400
2026-05-15,Kocaeli,Mersin,Tır,0,1,22400
2026-05-16,Kocaeli,Mersin,Kamyon,0,1,12000
2026-05-17,Kocaeli,Mersin,Kamyon,0,1,12000
2026-05-11,Kocaeli,Sivas,Kamyon,0,1,12000
2026-05-12,Kocaeli,Sivas,Kamyon,0,1,12000
2026-05-13,Kocaeli,Sivas,Kamyon,0,1,12000
2026-05-14,Kocaeli,Sivas,Kamyon,0,1,12000
2026-05-15,Kocaeli,Sivas,Kamyon,0,1,12000
2026-05-16,Kocaeli,Sivas,Kamyonet,0,1,5600
2026-05-17,Kocaeli,Sivas,Kamyonet,0,1,5600
2026-05-11,Kocaeli,Tekirdağ,Tır,1,1,44800
2026-05-12,Kocaeli,Tekirdağ,Tır,1,1,44800
2026-05-13,Kocaeli,Tekirdağ,Tır,1,0,22400
2026-05-13,Kocaeli,Tekirdağ,Kamyon,0,1,12000
2026-05-14,Kocaeli,Tekirdağ,Tır,1,0,22400
2026-05-14,Kocaeli,Tekirdağ,Kamyon,0,1,12000
2026-05-15,Kocaeli,Tekirdağ,Tır,1,0,22400
2026-05-15,Kocaeli,Tekirdağ,Kamyonet,0,1,5600
2026-05-16,Kocaeli,Tekirdağ,Tır,1,0,22400
2026-05-17,Kocaeli,Tekirdağ,Tır,1,0,22400
2026-05-11,Kocaeli,Yalova,Tır,1,0,22400
2026-05-11,Kocaeli,Yalova,Kamyon,0,2,24000
2026-05-12,Kocaeli,Yalova,Tır,1,1,44800
2026-05-13,Kocaeli,Yalova,Tır,1,0,22400
2026-05-13,Kocaeli,Yalova,Kamyon,0,1,12000
2026-05-14,Kocaeli,Yalova,Tır,1,0,22400
2026-05-14,Kocaeli,Yalova,Kamyon,0,1,12000
2026-05-15,Kocaeli,Yalova,Tır,1,0,22400
2026-05-15,Kocaeli,Yalova,Kamyon,0,1,12000
2026-05-16,Kocaeli,Yalova,Tır,1,0,22400
2026-05-17,Kocaeli,Yalova,Tır,1,0,22400
2026-05-11,Kocaeli,İstanbul,Tır,1,1,44800
2026-05-12,Kocaeli,İstanbul,Tır,1,0,22400
2026-05-12,Kocaeli,İstanbul,Kamyon,0,1,12000
2026-05-13,Kocaeli,İstanbul,Tır,1,0,22400
2026-05-13,Kocaeli,İstanbul,Kamyon,0,1,12000
2026-05-14,Kocaeli,İstanbul,Tır,1,0,22400
2026-05-14,Kocaeli,İstanbul,Kamyonet,0,1,5600
2026-05-15,Kocaeli,İstanbul,Tır,1,0,22400
2026-05-15,Kocaeli,İstanbul,Kamyonet,0,1,5600
2026-05-16,Kocaeli,İstanbul,Tır,1,0,22400
2026-05-17,Kocaeli,İstanbul,Tır,1,0,22400
2026-05-11,Kocaeli,Şanlıurfa,Tır,0,1,22400
2026-05-12,Kocaeli,Şanlıurfa,Tır,0,1,22400
2026-05-13,Kocaeli,Şanlıurfa,Tır,0,1,22400
2026-05-14,Kocaeli,Şanlıurfa,Kamyon,0,1,12000
2026-05-15,Kocaeli,Şanlıurfa,Kamyon,0,1,12000
2026-05-16,Kocaeli,Şanlıurfa,Kamyon,0,1,12000
2026-05-17,Kocaeli,Şanlıurfa,Kamyonet,0,1,5600
2026-05-11,Kütahya,Eskişehir,Kamyon,0,1,12000
2026-05-12,Kütahya,Eskişehir,Kamyonet,0,1,5600
2026-05-13,Kütahya,Eskişehir,Kamyonet,0,1,5600
2026-05-14,Kütahya,Eskişehir,Kamyonet,0,1,5600
2026-05-15,Kütahya,Eskişehir,Kamyonet,0,1,5600
2026-05-16,Kütahya,Eskişehir,Kamyonet,0,1,5600
2026-05-17,Kütahya,Eskişehir,Kamyonet,0,1,5600
2026-05-11,Manisa,Balıkesir,Tır,0,1,22400
2026-05-11,Manisa,Balıkesir,Kamyon,0,1,12000
2026-05-12,Manisa,Balıkesir,Tır,0,1,22400
2026-05-12,Manisa,Balıkesir,Kamyonet,0,1,5600
2026-05-13,Manisa,Balıkesir,Kamyon,0,2,24000
2026-05-14,Manisa,Balıkesir,Tır,0,1,22400
2026-05-15,Manisa,Balıkesir,Tır,0,1,22400
2026-05-16,Manisa,Balıkesir,Kamyon,0,1,12000
2026-05-17,Manisa,Balıkesir,Kamyonet,0,1,5600
2026-05-11,Manisa,Bilecik,Tır,0,1,22400
2026-05-12,Manisa,Bilecik,Tır,0,1,22400
2026-05-13,Manisa,Bilecik,Tır,0,1,22400
2026-05-14,Manisa,Bilecik,Tır,0,1,22400
2026-05-15,Manisa,Bilecik,Kamyon,0,1,12000
2026-05-16,Manisa,Bilecik,Kamyonet,0,1,5600
2026-05-17,Manisa,Bilecik,Kamyonet,0,1,5600
2026-05-11,Manisa,Denizli,Kamyon,0,1,12000
2026-05-12,Manisa,Denizli,Kamyonet,0,1,5600
2026-05-13,Manisa,Denizli,Kamyonet,0,1,5600
2026-05-14,Manisa,Denizli,Kamyonet,0,1,5600
2026-05-15,Manisa,Denizli,Kamyonet,0,1,5600
2026-05-16,Manisa,Denizli,Kamyonet,0,1,5600
2026-05-17,Manisa,Denizli,Kamyonet,0,1,5600
2026-05-11,Manisa,Eskişehir,Kamyon,0,2,24000
2026-05-12,Manisa,Eskişehir,Tır,0,1,22400
2026-05-13,Manisa,Eskişehir,Tır,0,1,22400
2026-05-14,Manisa,Eskişehir,Tır,0,1,22400
2026-05-15,Manisa,Eskişehir,Kamyon,0,1,12000
2026-05-16,Manisa,Eskişehir,Kamyonet,0,1,5600
2026-05-17,Manisa,Eskişehir,Kamyonet,0,1,5600
2026-05-11,Manisa,Isparta,Tır,0,1,22400
2026-05-12,Manisa,Isparta,Tır,0,1,22400
2026-05-13,Manisa,Isparta,Tır,0,1,22400
2026-05-14,Manisa,Isparta,Kamyon,0,1,12000
2026-05-15,Manisa,Isparta,Kamyon,0,1,12000
2026-05-16,Manisa,Isparta,Kamyonet,0,1,5600
2026-05-17,Manisa,Isparta,Kamyonet,0,1,5600
2026-05-11,Manisa,Kütahya,Tır,0,1,22400
2026-05-12,Manisa,Kütahya,Tır,0,1,22400
2026-05-13,Manisa,Kütahya,Tır,0,1,22400
2026-05-14,Manisa,Kütahya,Kamyon,0,1,12000
2026-05-15,Manisa,Kütahya,Kamyon,0,1,12000
2026-05-16,Manisa,Kütahya,Kamyonet,0,1,5600
2026-05-17,Manisa,Kütahya,Kamyonet,0,1,5600
2026-05-11,Manisa,Mersin,Tır,0,1,22400
2026-05-12,Manisa,Mersin,Tır,0,1,22400
2026-05-13,Manisa,Mersin,Kamyon,0,1,12000
2026-05-14,Manisa,Mersin,Kamyon,0,1,12000
2026-05-15,Manisa,Mersin,Kamyon,0,1,12000
2026-05-16,Manisa,Mersin,Kamyonet,0,1,5600
2026-05-17,Manisa,Mersin,Kamyonet,0,1,5600
2026-05-11,Manisa,Sivas,Kamyon,0,1,12000
2026-05-12,Manisa,Sivas,Kamyon,0,1,12000
2026-05-13,Manisa,Sivas,Kamyon,0,1,12000
2026-05-14,Manisa,Sivas,Kamyonet,0,1,5600
2026-05-15,Manisa,Sivas,Kamyonet,0,1,5600
2026-05-16,Manisa,Sivas,Kamyonet,0,1,5600
2026-05-17,Manisa,Sivas,Kamyonet,0,1,5600
2026-05-11,Manisa,Tekirdağ,Tır,0,1,22400
2026-05-11,Manisa,Tekirdağ,Kamyonet,0,1,5600
2026-05-12,Manisa,Tekirdağ,Kamyon,0,2,24000
2026-05-13,Manisa,Tekirdağ,Tır,0,1,22400
2026-05-14,Manisa,Tekirdağ,Tır,0,1,22400
2026-05-15,Manisa,Tekirdağ,Tır,0,1,22400
2026-05-16,Manisa,Tekirdağ,Kamyon,0,1,12000
2026-05-17,Manisa,Tekirdağ,Kamyonet,0,1,5600
2026-05-11,Manisa,Yalova,Tır,0,1,22400
2026-05-11,Manisa,Yalova,Kamyon,0,1,12000
2026-05-12,Manisa,Yalova,Tır,0,1,22400
2026-05-12,Manisa,Yalova,Kamyonet,0,1,5600
2026-05-13,Manisa,Yalova,Tır,0,1,22400
2026-05-13,Manisa,Yalova,Kamyonet,0,1,5600
2026-05-14,Manisa,Yalova,Tır,0,1,22400
2026-05-15,Manisa,Yalova,Tır,0,1,22400
2026-05-16,Manisa,Yalova,Kamyon,0,1,12000
2026-05-17,Manisa,Yalova,Kamyonet,0,1,5600
2026-05-11,Manisa,İstanbul,Tır,0,1,22400
2026-05-12,Manisa,İstanbul,Tır,0,1,22400
2026-05-13,Manisa,İstanbul,Tır,0,1,22400
2026-05-14,Manisa,İstanbul,Kamyon,0,1,12000
2026-05-15,Manisa,İstanbul,Kamyon,0,1,12000
2026-05-16,Manisa,İstanbul,Kamyon,0,1,12000
2026-05-17,Manisa,İstanbul,Kamyonet,0,1,5600
2026-05-11,Mersin,Eskişehir,Kamyon,0,1,12000
2026-05-12,Mersin,Eskişehir,Kamyonet,0,1,5600
2026-05-13,Mersin,Eskişehir,Kamyonet,0,1,5600
2026-05-14,Mersin,Eskişehir,Kamyonet,0,1,5600
2026-05-15,Mersin,Eskişehir,Kamyonet,0,1,5600
2026-05-16,Mersin,Eskişehir,Kamyonet,0,1,5600
2026-05-17,Mersin,Eskişehir,Kamyonet,0,1,5600
2026-05-11,Mersin,Manisa,Kamyon,0,1,12000
2026-05-12,Mersin,Manisa,Kamyonet,0,1,5600
2026-05-13,Mersin,Manisa,Kamyonet,0,1,5600
2026-05-14,Mersin,Manisa,Kamyonet,0,1,5600
2026-05-15,Mersin,Manisa,Kamyonet,0,1,5600
2026-05-16,Mersin,Manisa,Kamyonet,0,1,5600
2026-05-17,Mersin,Manisa,Kamyonet,0,1,5600
2026-05-11,Sivas,Eskişehir,Kamyon,0,1,12000
2026-05-12,Sivas,Eskişehir,Kamyon,0,1,12000
2026-05-13,Sivas,Eskişehir,Kamyon,0,1,12000
2026-05-14,Sivas,Eskişehir,Kamyonet,0,1,5600
2026-05-15,Sivas,Eskişehir,Kamyonet,0,1,5600
2026-05-16,Sivas,Eskişehir,Kamyonet,0,1,5600
2026-05-17,Sivas,Eskişehir,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Balıkesir,Tır,0,1,22400
2026-05-12,Tekirdağ,Balıkesir,Tır,0,1,22400
2026-05-13,Tekirdağ,Balıkesir,Tır,0,1,22400
2026-05-14,Tekirdağ,Balıkesir,Kamyon,0,1,12000
2026-05-15,Tekirdağ,Balıkesir,Kamyon,0,1,12000
2026-05-16,Tekirdağ,Balıkesir,Kamyonet,0,1,5600
2026-05-17,Tekirdağ,Balıkesir,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Bilecik,Tır,0,1,22400
2026-05-12,Tekirdağ,Bilecik,Kamyon,0,1,12000
2026-05-13,Tekirdağ,Bilecik,Kamyon,0,1,12000
2026-05-14,Tekirdağ,Bilecik,Kamyon,0,1,12000
2026-05-15,Tekirdağ,Bilecik,Kamyon,0,1,12000
2026-05-16,Tekirdağ,Bilecik,Kamyonet,0,1,5600
2026-05-17,Tekirdağ,Bilecik,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Denizli,Kamyon,0,1,12000
2026-05-12,Tekirdağ,Denizli,Kamyonet,0,1,5600
2026-05-13,Tekirdağ,Denizli,Kamyonet,0,1,5600
2026-05-14,Tekirdağ,Denizli,Kamyonet,0,1,5600
2026-05-15,Tekirdağ,Denizli,Kamyonet,0,1,5600
2026-05-16,Tekirdağ,Denizli,Kamyonet,0,1,5600
2026-05-17,Tekirdağ,Denizli,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Eskişehir,Tır,0,1,22400
2026-05-12,Tekirdağ,Eskişehir,Tır,0,1,22400
2026-05-13,Tekirdağ,Eskişehir,Tır,0,1,22400
2026-05-14,Tekirdağ,Eskişehir,Kamyon,0,1,12000
2026-05-15,Tekirdağ,Eskişehir,Kamyon,0,1,12000
2026-05-16,Tekirdağ,Eskişehir,Kamyonet,0,1,5600
2026-05-17,Tekirdağ,Eskişehir,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Isparta,Kamyon,0,1,12000
2026-05-12,Tekirdağ,Isparta,Kamyonet,0,1,5600
2026-05-13,Tekirdağ,Isparta,Kamyonet,0,1,5600
2026-05-14,Tekirdağ,Isparta,Kamyonet,0,1,5600
2026-05-15,Tekirdağ,Isparta,Kamyonet,0,1,5600
2026-05-16,Tekirdağ,Isparta,Kamyonet,0,1,5600
2026-05-17,Tekirdağ,Isparta,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Karaman,Kamyon,0,1,12000
2026-05-12,Tekirdağ,Karaman,Kamyonet,0,1,5600
2026-05-13,Tekirdağ,Karaman,Kamyonet,0,1,5600
2026-05-14,Tekirdağ,Karaman,Kamyonet,0,1,5600
2026-05-15,Tekirdağ,Karaman,Kamyonet,0,1,5600
2026-05-16,Tekirdağ,Karaman,Kamyonet,0,1,5600
2026-05-17,Tekirdağ,Karaman,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Kütahya,Kamyon,0,1,12000
2026-05-12,Tekirdağ,Kütahya,Kamyonet,0,1,5600
2026-05-13,Tekirdağ,Kütahya,Kamyonet,0,1,5600
2026-05-14,Tekirdağ,Kütahya,Kamyonet,0,1,5600
2026-05-15,Tekirdağ,Kütahya,Kamyonet,0,1,5600
2026-05-16,Tekirdağ,Kütahya,Kamyonet,0,1,5600
2026-05-17,Tekirdağ,Kütahya,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Manisa,Kamyon,0,2,24000
2026-05-12,Tekirdağ,Manisa,Tır,0,1,22400
2026-05-13,Tekirdağ,Manisa,Tır,0,1,22400
2026-05-14,Tekirdağ,Manisa,Tır,0,1,22400
2026-05-15,Tekirdağ,Manisa,Kamyon,0,1,12000
2026-05-16,Tekirdağ,Manisa,Kamyon,0,1,12000
2026-05-17,Tekirdağ,Manisa,Kamyonet,0,1,5600
2026-05-11,Tekirdağ,Mersin,Tır,0,1,22400
2026-05-12,Tekirdağ,Mersin,Kamyon,0,1,12000
2026-05-13,Tekirdağ,Mersin,Kamyon,0,1,12000
