=================================================================================
BASE MODEL BAŞARILI — OPTIMAL (Kusursuz)
=================================================================================

Tarih | Araç Türü | Hat | Kapasite (Desi) | Maliyet
13_Mayis | Spot Kamyon | Balıkesir-Yalova | 12000 Desi | 11039 TL
14_Mayis | Spot Kamyon | Balıkesir-Yalova | 12000 Desi | 11039 TL
15_Mayis | Spot Kamyon | Balıkesir-Yalova | 12000 Desi | 11039 TL
16_Mayis | Spot Kamyonet | Balıkesir-Yalova | 5600 Desi | 7665 TL
17_Mayis | Spot Kamyonet | Balıkesir-Yalova | 5600 Desi | 7665 TL
11_Mayis | Spot Kamyon | Balıkesir-İstanbul | 12000 Desi | 11364 TL
12_Mayis | Spot Kamyon | Balıkesir-İstanbul | 12000 Desi | 11364 TL
13_Mayis | Spot Kamyon | Balıkesir-İstanbul | 12000 Desi | 11364 TL
14_Mayis | Spot Kamyonet | Balıkesir-İstanbul | 5600 Desi | 7944 TL
15_Mayis | Spot Kamyonet | Balıkesir-İstanbul | 5600 Desi | 7944 TL
16_Mayis | Spot Kamyonet | Balıkesir-İstanbul | 5600 Desi | 7944 TL
17_Mayis | Spot Kamyonet | Balıkesir-İstanbul | 5600 Desi | 7944 TL
11_Mayis | Spot Kamyon | Bilecik-Eskişehir | 12000 Desi | 8942 TL
12_Mayis | Spot Kamyonet | Bilecik-Eskişehir | 5600 Desi | 5867 TL
13_Mayis | Spot Kamyonet | Bilecik-Eskişehir | 5600 Desi | 5867 TL
14_Mayis | Spot Kamyonet | Bilecik-Eskişehir | 5600 Desi | 5867 TL
15_Mayis | Spot Kamyonet | Bilecik-Eskişehir | 5600 Desi | 5867 TL
16_Mayis | Spot Kamyonet | Bilecik-Eskişehir | 5600 Desi | 5867 TL
11_Mayis | Spot Kamyon | Bilecik-Manisa | 12000 Desi | 13466 TL
12_Mayis | Spot Kamyonet | Bilecik-Manisa | 5600 Desi | 9745 TL
13_Mayis | Spot Kamyonet | Bilecik-Manisa | 5600 Desi | 9745 TL
14_Mayis | Spot Kamyonet | Bilecik-Manisa | 5600 Desi | 9745 TL
15_Mayis | Spot Kamyonet | Bilecik-Manisa | 5600 Desi | 9745 TL
16_Mayis | Spot Kamyonet | Bilecik-Manisa | 5600 Desi | 9745 TL
11_Mayis | Spot Kamyon | Eskişehir-Balıkesir | 12000 Desi | 12385 TL
12_Mayis | Spot Kamyon | Eskişehir-Balıkesir | 12000 Desi | 12385 TL
13_Mayis | Spot Kamyon | Eskişehir-Balıkesir | 12000 Desi | 12385 TL
14_Mayis | Spot Kamyon | Eskişehir-Balıkesir | 12000 Desi | 12385 TL
15_Mayis | Spot Kamyonet | Eskişehir-Balıkesir | 5600 Desi | 8819 TL
16_Mayis | Spot Kamyonet | Eskişehir-Balıkesir | 5600 Desi | 8819 TL
17_Mayis | Spot Kamyonet | Eskişehir-Balıkesir | 5600 Desi | 8819 TL
11_Mayis | Spot Kamyon | Eskişehir-Bilecik | 12000 Desi | 8942 TL
12_Mayis | Spot Kamyonet | Eskişehir-Bilecik | 5600 Desi | 5867 TL
13_Mayis | Spot Kamyonet | Eskişehir-Bilecik | 5600 Desi | 5867 TL
14_Mayis | Spot Kamyonet | Eskişehir-Bilecik | 5600 Desi | 5867 TL
15_Mayis | Spot Kamyonet | Eskişehir-Bilecik | 5600 Desi | 5867 TL
16_Mayis | Spot Kamyonet | Eskişehir-Bilecik | 5600 Desi | 5867 TL
17_Mayis | Spot Kamyonet | Eskişehir-Bilecik | 5600 Desi | 5867 TL
11_Mayis | Spot Kamyon | Eskişehir-Erzincan | 12000 Desi | 23749 TL
12_Mayis | Spot Kamyonet | Eskişehir-Erzincan | 5600 Desi | 18559 TL
13_Mayis | Spot Kamyonet | Eskişehir-Erzincan | 5600 Desi | 18559 TL
14_Mayis | Spot Kamyonet | Eskişehir-Erzincan | 5600 Desi | 18559 TL
15_Mayis | Spot Kamyonet | Eskişehir-Erzincan | 5600 Desi | 18559 TL
16_Mayis | Spot Kamyonet | Eskişehir-Erzincan | 5600 Desi | 18559 TL
11_Mayis | Spot Kamyon | Eskişehir-Isparta | 12000 Desi | 12336 TL
12_Mayis | Spot Kamyonet | Eskişehir-Isparta | 5600 Desi | 8777 TL
13_Mayis | Spot Kamyonet | Eskişehir-Isparta | 5600 Desi | 8777 TL
14_Mayis | Spot Kamyonet | Eskişehir-Isparta | 5600 Desi | 8777 TL
15_Mayis | Spot Kamyonet | Eskişehir-Isparta | 5600 Desi | 8777 TL
16_Mayis | Spot Kamyonet | Eskişehir-Isparta | 5600 Desi | 8777 TL
11_Mayis | Spot Kamyon | Eskişehir-Kütahya | 12000 Desi | 8919 TL
12_Mayis | Spot Kamyonet | Eskişehir-Kütahya | 5600 Desi | 5848 TL
13_Mayis | Spot Kamyonet | Eskişehir-Kütahya | 5600 Desi | 5848 TL
14_Mayis | Spot Kamyonet | Eskişehir-Kütahya | 5600 Desi | 5848 TL
15_Mayis | Spot Kamyonet | Eskişehir-Kütahya | 5600 Desi | 5848 TL
16_Mayis | Spot Kamyonet | Eskişehir-Kütahya | 5600 Desi | 5848 TL
11_Mayis | Spot Kamyon | Eskişehir-Manisa | 12000 Desi | 13851 TL
12_Mayis | Spot Kamyon | Eskişehir-Manisa | 12000 Desi | 13851 TL
13_Mayis | Spot Kamyon | Eskişehir-Manisa | 12000 Desi | 13851 TL
14_Mayis | Spot Kamyon | Eskişehir-Manisa | 12000 Desi | 13851 TL
15_Mayis | Spot Kamyonet | Eskişehir-Manisa | 5600 Desi | 10075 TL
16_Mayis | Spot Kamyonet | Eskişehir-Manisa | 5600 Desi | 10075 TL
17_Mayis | Spot Kamyonet | Eskişehir-Manisa | 5600 Desi | 10075 TL
11_Mayis | Spot Kamyon | Eskişehir-Mardin | 12000 Desi | 27121 TL
12_Mayis | Spot Kamyonet | Eskişehir-Mardin | 5600 Desi | 21450 TL
13_Mayis | Spot Kamyonet | Eskişehir-Mardin | 5600 Desi | 21450 TL
14_Mayis | Spot Kamyonet | Eskişehir-Mardin | 5600 Desi | 21450 TL
15_Mayis | Spot Kamyonet | Eskişehir-Mardin | 5600 Desi | 21450 TL
16_Mayis | Spot Kamyonet | Eskişehir-Mardin | 5600 Desi | 21450 TL
11_Mayis | Spot Kamyon | Eskişehir-Mersin | 12000 Desi | 17889 TL
12_Mayis | Spot Kamyonet | Eskişehir-Mersin | 5600 Desi | 13536 TL
13_Mayis | Spot Kamyonet | Eskişehir-Mersin | 5600 Desi | 13536 TL
14_Mayis | Spot Kamyonet | Eskişehir-Mersin | 5600 Desi | 13536 TL
15_Mayis | Spot Kamyonet | Eskişehir-Mersin | 5600 Desi | 13536 TL
16_Mayis | Spot Kamyonet | Eskişehir-Mersin | 5600 Desi | 13536 TL
11_Mayis | Spot Kamyon | Eskişehir-Tekirdağ | 12000 Desi | 13680 TL
12_Mayis | Spot Kamyon | Eskişehir-Tekirdağ | 12000 Desi | 13680 TL
13_Mayis | Spot Kamyon | Eskişehir-Tekirdağ | 12000 Desi | 13680 TL
14_Mayis | Spot Kamyon | Eskişehir-Tekirdağ | 12000 Desi | 13680 TL
15_Mayis | Spot Kamyonet | Eskişehir-Tekirdağ | 5600 Desi | 9929 TL
16_Mayis | Spot Kamyonet | Eskişehir-Tekirdağ | 5600 Desi | 9929 TL
17_Mayis | Spot Kamyonet | Eskişehir-Tekirdağ | 5600 Desi | 9929 TL
11_Mayis | Spot Tir | Eskişehir-Yalova | 22400 Desi | 15302 TL
12_Mayis | Spot Kamyon | Eskişehir-Yalova | 12000 Desi | 10664 TL
13_Mayis | Spot Kamyon | Eskişehir-Yalova | 12000 Desi | 10664 TL
14_Mayis | Spot Kamyon | Eskişehir-Yalova | 12000 Desi | 10664 TL
15_Mayis | Spot Kamyon | Eskişehir-Yalova | 12000 Desi | 10664 TL
16_Mayis | Spot Kamyonet | Eskişehir-Yalova | 5600 Desi | 7343 TL
17_Mayis | Spot Kamyonet | Eskişehir-Yalova | 5600 Desi | 7343 TL
11_Mayis | Spot Kamyon | Eskişehir-İstanbul | 12000 Desi | 11611 TL
12_Mayis | Spot Kamyon | Eskişehir-İstanbul | 12000 Desi | 11611 TL
13_Mayis | Spot Kamyon | Eskişehir-İstanbul | 12000 Desi | 11611 TL
14_Mayis | Spot Kamyon | Eskişehir-İstanbul | 12000 Desi | 11611 TL
15_Mayis | Spot Kamyonet | Eskişehir-İstanbul | 5600 Desi | 8156 TL
16_Mayis | Spot Kamyonet | Eskişehir-İstanbul | 5600 Desi | 8156 TL
17_Mayis | Spot Kamyonet | Eskişehir-İstanbul | 5600 Desi | 8156 TL
11_Mayis | Spot Kamyon | Eskişehir-Şanlıurfa | 12000 Desi | 23949 TL
12_Mayis | Spot Kamyonet | Eskişehir-Şanlıurfa | 5600 Desi | 18730 TL
13_Mayis | Spot Kamyonet | Eskişehir-Şanlıurfa | 5600 Desi | 18730 TL
14_Mayis | Spot Kamyonet | Eskişehir-Şanlıurfa | 5600 Desi | 18730 TL
15_Mayis | Spot Kamyonet | Eskişehir-Şanlıurfa | 5600 Desi | 18730 TL
16_Mayis | Spot Kamyonet | Eskişehir-Şanlıurfa | 5600 Desi | 18730 TL
11_Mayis | Spot Tir | Kocaeli-Balıkesir | 22400 Desi | 17103 TL
11_Mayis | Kiralık Kamyon | Kocaeli-Balıkesir | 12000 Desi | 7161 TL
11_Mayis | Spot Kamyon | Kocaeli-Balıkesir | 12000 Desi | 12177 TL
12_Mayis | Spot Tir | Kocaeli-Balıkesir | 22400 Desi | 17103 TL
12_Mayis | Kiralık Kamyon | Kocaeli-Balıkesir | 12000 Desi | 7161 TL
13_Mayis | Spot Tir | Kocaeli-Balıkesir | 22400 Desi | 17103 TL
13_Mayis | Kiralık Kamyon | Kocaeli-Balıkesir | 12000 Desi | 7161 TL
14_Mayis | Spot Tir | Kocaeli-Balıkesir | 22400 Desi | 17103 TL
14_Mayis | Kiralık Kamyon | Kocaeli-Balıkesir | 12000 Desi | 7161 TL
15_Mayis | Kiralık Kamyon | Kocaeli-Balıkesir | 12000 Desi | 7161 TL
15_Mayis | Spot Kamyon | Kocaeli-Balıkesir | 12000 Desi | 12177 TL
16_Mayis | Kiralık Kamyon | Kocaeli-Balıkesir | 12000 Desi | 7161 TL
16_Mayis | Spot Kamyonet | Kocaeli-Balıkesir | 5600 Desi | 8640 TL
17_Mayis | Kiralık Kamyon | Kocaeli-Balıkesir | 12000 Desi | 7161 TL
11_Mayis | Spot Tir | Kocaeli-Bilecik | 22400 Desi | 13664 TL
12_Mayis | Spot Tir | Kocaeli-Bilecik | 22400 Desi | 13664 TL
13_Mayis | Spot Tir | Kocaeli-Bilecik | 22400 Desi | 13664 TL
14_Mayis | Spot Tir | Kocaeli-Bilecik | 22400 Desi | 13664 TL
15_Mayis | Spot Tir | Kocaeli-Bilecik | 22400 Desi | 13664 TL
16_Mayis | Spot Kamyon | Kocaeli-Bilecik | 12000 Desi | 9288 TL
17_Mayis | Spot Kamyon | Kocaeli-Bilecik | 12000 Desi | 9288 TL
11_Mayis | Spot Tir | Kocaeli-Erzincan | 22400 Desi | 32310 TL
12_Mayis | Spot Kamyon | Kocaeli-Erzincan | 12000 Desi | 24950 TL
13_Mayis | Spot Kamyon | Kocaeli-Erzincan | 12000 Desi | 24950 TL
14_Mayis | Spot Kamyon | Kocaeli-Erzincan | 12000 Desi | 24950 TL
15_Mayis | Spot Kamyon | Kocaeli-Erzincan | 12000 Desi | 24950 TL
16_Mayis | Spot Kamyon | Kocaeli-Erzincan | 12000 Desi | 24950 TL
17_Mayis | Spot Kamyonet | Kocaeli-Erzincan | 5600 Desi | 19589 TL
11_Mayis | Spot Tir | Kocaeli-Eskişehir | 22400 Desi | 14985 TL
11_Mayis | Kiralık Kamyon | Kocaeli-Eskişehir | 12000 Desi | 6314 TL
12_Mayis | Kiralık Kamyon | Kocaeli-Eskişehir | 12000 Desi | 6314 TL
12_Mayis | Spot Kamyon | Kocaeli-Eskişehir | 12000 Desi | 10397 TL
13_Mayis | Kiralık Kamyon | Kocaeli-Eskişehir | 12000 Desi | 6314 TL
13_Mayis | Spot Kamyon | Kocaeli-Eskişehir | 12000 Desi | 10397 TL
14_Mayis | Kiralık Kamyon | Kocaeli-Eskişehir | 12000 Desi | 6314 TL
14_Mayis | Spot Kamyonet | Kocaeli-Eskişehir | 5600 Desi | 7115 TL
15_Mayis | Kiralık Kamyon | Kocaeli-Eskişehir | 12000 Desi | 6314 TL
15_Mayis | Spot Kamyonet | Kocaeli-Eskişehir | 5600 Desi | 7115 TL
16_Mayis | Kiralık Kamyon | Kocaeli-Eskişehir | 12000 Desi | 6314 TL
17_Mayis | Kiralık Kamyon | Kocaeli-Eskişehir | 12000 Desi | 6314 TL
11_Mayis | Spot Kamyon | Kocaeli-Isparta | 12000 Desi | 14952 TL
12_Mayis | Spot Kamyon | Kocaeli-Isparta | 12000 Desi | 14952 TL
13_Mayis | Spot Kamyon | Kocaeli-Isparta | 12000 Desi | 14952 TL
14_Mayis | Spot Kamyonet | Kocaeli-Isparta | 5600 Desi | 11019 TL
15_Mayis | Spot Kamyonet | Kocaeli-Isparta | 5600 Desi | 11019 TL
16_Mayis | Spot Kamyonet | Kocaeli-Isparta | 5600 Desi | 11019 TL
17_Mayis | Spot Kamyonet | Kocaeli-Isparta | 5600 Desi | 11019 TL
11_Mayis | Spot Tir | Kocaeli-Kütahya | 22400 Desi | 15699 TL
12_Mayis | Spot Kamyon | Kocaeli-Kütahya | 12000 Desi | 10997 TL
13_Mayis | Spot Kamyon | Kocaeli-Kütahya | 12000 Desi | 10997 TL
14_Mayis | Spot Kamyon | Kocaeli-Kütahya | 12000 Desi | 10997 TL
15_Mayis | Spot Kamyon | Kocaeli-Kütahya | 12000 Desi | 10997 TL
16_Mayis | Spot Kamyonet | Kocaeli-Kütahya | 5600 Desi | 7629 TL
17_Mayis | Spot Kamyonet | Kocaeli-Kütahya | 5600 Desi | 7629 TL
11_Mayis | Spot Tir | Kocaeli-Manisa | 22400 Desi | 19827 TL
11_Mayis | Spot Kamyonet | Kocaeli-Manisa | 5600 Desi | 10601 TL
12_Mayis | Spot Tir | Kocaeli-Manisa | 22400 Desi | 19827 TL
13_Mayis | Spot Tir | Kocaeli-Manisa | 22400 Desi | 19827 TL
14_Mayis | Spot Tir | Kocaeli-Manisa | 22400 Desi | 19827 TL
15_Mayis | Spot Tir | Kocaeli-Manisa | 22400 Desi | 19827 TL
16_Mayis | Spot Kamyon | Kocaeli-Manisa | 12000 Desi | 14464 TL
17_Mayis | Spot Kamyon | Kocaeli-Manisa | 12000 Desi | 14464 TL
11_Mayis | Spot Tir | Kocaeli-Mardin | 22400 Desi | 37049 TL
12_Mayis | Spot Tir | Kocaeli-Mardin | 22400 Desi | 37049 TL
13_Mayis | Spot Kamyon | Kocaeli-Mardin | 12000 Desi | 28931 TL
14_Mayis | Spot Kamyon | Kocaeli-Mardin | 12000 Desi | 28931 TL
15_Mayis | Spot Kamyon | Kocaeli-Mardin | 12000 Desi | 28931 TL
16_Mayis | Spot Kamyonet | Kocaeli-Mardin | 5600 Desi | 23001 TL
17_Mayis | Spot Kamyonet | Kocaeli-Mardin | 5600 Desi | 23001 TL
11_Mayis | Spot Tir | Kocaeli-Mersin | 22400 Desi | 26954 TL
11_Mayis | Spot Kamyon | Kocaeli-Mersin | 12000 Desi | 20451 TL
12_Mayis | Spot Tir | Kocaeli-Mersin | 22400 Desi | 26954 TL
12_Mayis | Spot Kamyonet | Kocaeli-Mersin | 5600 Desi | 15733 TL
13_Mayis | Spot Kamyon | Kocaeli-Mersin | 12000 Desi | 20451 TL
13_Mayis | Spot Kamyon | Kocaeli-Mersin | 12000 Desi | 20451 TL
14_Mayis | Spot Tir | Kocaeli-Mersin | 22400 Desi | 26954 TL
15_Mayis | Spot Tir | Kocaeli-Mersin | 22400 Desi | 26954 TL
16_Mayis | Spot Kamyon | Kocaeli-Mersin | 12000 Desi | 20451 TL
17_Mayis | Spot Kamyon | Kocaeli-Mersin | 12000 Desi | 20451 TL
11_Mayis | Spot Kamyon | Kocaeli-Sivas | 12000 Desi | 20602 TL
12_Mayis | Spot Kamyon | Kocaeli-Sivas | 12000 Desi | 20602 TL
13_Mayis | Spot Kamyon | Kocaeli-Sivas | 12000 Desi | 20602 TL
14_Mayis | Spot Kamyon | Kocaeli-Sivas | 12000 Desi | 20602 TL
15_Mayis | Spot Kamyonet | Kocaeli-Sivas | 5600 Desi | 15862 TL
16_Mayis | Spot Kamyonet | Kocaeli-Sivas | 5600 Desi | 15862 TL
17_Mayis | Spot Kamyonet | Kocaeli-Sivas | 5600 Desi | 15862 TL
11_Mayis | Kiralık Tir | Kocaeli-Tekirdağ | 22400 Desi | 9595 TL
11_Mayis | Spot Tir | Kocaeli-Tekirdağ | 22400 Desi | 16690 TL
12_Mayis | Kiralık Tir | Kocaeli-Tekirdağ | 22400 Desi | 9595 TL
12_Mayis | Spot Kamyon | Kocaeli-Tekirdağ | 12000 Desi | 11830 TL
13_Mayis | Kiralık Tir | Kocaeli-Tekirdağ | 22400 Desi | 9595 TL
13_Mayis | Spot Kamyon | Kocaeli-Tekirdağ | 12000 Desi | 11830 TL
14_Mayis | Kiralık Tir | Kocaeli-Tekirdağ | 22400 Desi | 9595 TL
14_Mayis | Spot Kamyonet | Kocaeli-Tekirdağ | 5600 Desi | 8343 TL
15_Mayis | Kiralık Tir | Kocaeli-Tekirdağ | 22400 Desi | 9595 TL
15_Mayis | Spot Kamyonet | Kocaeli-Tekirdağ | 5600 Desi | 8343 TL
16_Mayis | Kiralık Tir | Kocaeli-Tekirdağ | 22400 Desi | 9595 TL
17_Mayis | Kiralık Tir | Kocaeli-Tekirdağ | 22400 Desi | 9595 TL
11_Mayis | Kiralık Tir | Kocaeli-Yalova | 22400 Desi | 7734 TL
11_Mayis | Spot Tir | Kocaeli-Yalova | 22400 Desi | 13112 TL
11_Mayis | Spot Kamyonet | Kocaeli-Yalova | 5600 Desi | 5767 TL
12_Mayis | Kiralık Tir | Kocaeli-Yalova | 22400 Desi | 7734 TL
12_Mayis | Spot Tir | Kocaeli-Yalova | 22400 Desi | 13112 TL
13_Mayis | Kiralık Tir | Kocaeli-Yalova | 22400 Desi | 7734 TL
13_Mayis | Spot Kamyon | Kocaeli-Yalova | 12000 Desi | 8824 TL
14_Mayis | Kiralık Tir | Kocaeli-Yalova | 22400 Desi | 7734 TL
14_Mayis | Spot Kamyon | Kocaeli-Yalova | 12000 Desi | 8824 TL
15_Mayis | Kiralık Tir | Kocaeli-Yalova | 22400 Desi | 7734 TL
15_Mayis | Spot Kamyonet | Kocaeli-Yalova | 5600 Desi | 5767 TL
16_Mayis | Kiralık Tir | Kocaeli-Yalova | 22400 Desi | 7734 TL
17_Mayis | Kiralık Tir | Kocaeli-Yalova | 22400 Desi | 7734 TL
11_Mayis | Kiralık Tir | Kocaeli-İstanbul | 22400 Desi | 8011 TL
11_Mayis | Spot Tir | Kocaeli-İstanbul | 22400 Desi | 13644 TL
12_Mayis | Kiralık Tir | Kocaeli-İstanbul | 22400 Desi | 8011 TL
12_Mayis | Spot Kamyon | Kocaeli-İstanbul | 12000 Desi | 9271 TL
13_Mayis | Kiralık Tir | Kocaeli-İstanbul | 22400 Desi | 8011 TL
13_Mayis | Spot Kamyon | Kocaeli-İstanbul | 12000 Desi | 9271 TL
14_Mayis | Kiralık Tir | Kocaeli-İstanbul | 22400 Desi | 8011 TL
14_Mayis | Spot Kamyonet | Kocaeli-İstanbul | 5600 Desi | 6150 TL
15_Mayis | Kiralık Tir | Kocaeli-İstanbul | 22400 Desi | 8011 TL
15_Mayis | Spot Kamyonet | Kocaeli-İstanbul | 5600 Desi | 6150 TL
16_Mayis | Kiralık Tir | Kocaeli-İstanbul | 22400 Desi | 8011 TL
17_Mayis | Kiralık Tir | Kocaeli-İstanbul | 22400 Desi | 8011 TL
11_Mayis | Spot Tir | Kocaeli-Şanlıurfa | 22400 Desi | 33510 TL
12_Mayis | Spot Tir | Kocaeli-Şanlıurfa | 22400 Desi | 33510 TL
13_Mayis | Spot Tir | Kocaeli-Şanlıurfa | 22400 Desi | 33510 TL
14_Mayis | Spot Kamyon | Kocaeli-Şanlıurfa | 12000 Desi | 25958 TL
15_Mayis | Spot Kamyon | Kocaeli-Şanlıurfa | 12000 Desi | 25958 TL
16_Mayis | Spot Kamyon | Kocaeli-Şanlıurfa | 12000 Desi | 25958 TL
17_Mayis | Spot Kamyon | Kocaeli-Şanlıurfa | 12000 Desi | 25958 TL
11_Mayis | Spot Kamyonet | Kütahya-Eskişehir | 5600 Desi | 5848 TL
12_Mayis | Spot Kamyonet | Kütahya-Eskişehir | 5600 Desi | 5848 TL
13_Mayis | Spot Kamyonet | Kütahya-Eskişehir | 5600 Desi | 5848 TL
14_Mayis | Spot Kamyonet | Kütahya-Eskişehir | 5600 Desi | 5848 TL
15_Mayis | Spot Kamyonet | Kütahya-Eskişehir | 5600 Desi | 5848 TL
16_Mayis | Spot Kamyonet | Kütahya-Eskişehir | 5600 Desi | 5848 TL
11_Mayis | Spot Tir | Manisa-Balıkesir | 22400 Desi | 14723 TL
11_Mayis | Spot Kamyonet | Manisa-Balıkesir | 5600 Desi | 6927 TL
12_Mayis | Spot Kamyon | Manisa-Balıkesir | 12000 Desi | 10178 TL
12_Mayis | Spot Kamyon | Manisa-Balıkesir | 12000 Desi | 10178 TL
13_Mayis | Spot Tir | Manisa-Balıkesir | 22400 Desi | 14723 TL
14_Mayis | Spot Tir | Manisa-Balıkesir | 22400 Desi | 14723 TL
15_Mayis | Spot Tir | Manisa-Balıkesir | 22400 Desi | 14723 TL
16_Mayis | Spot Kamyon | Manisa-Balıkesir | 12000 Desi | 10178 TL
17_Mayis | Spot Kamyonet | Manisa-Balıkesir | 5600 Desi | 6927 TL
11_Mayis | Spot Tir | Manisa-Bilecik | 22400 Desi | 18638 TL
12_Mayis | Spot Tir | Manisa-Bilecik | 22400 Desi | 18638 TL
13_Mayis | Spot Tir | Manisa-Bilecik | 22400 Desi | 18638 TL
14_Mayis | Spot Kamyon | Manisa-Bilecik | 12000 Desi | 13466 TL
15_Mayis | Spot Kamyon | Manisa-Bilecik | 12000 Desi | 13466 TL
16_Mayis | Spot Kamyonet | Manisa-Bilecik | 5600 Desi | 9745 TL
17_Mayis | Spot Kamyonet | Manisa-Bilecik | 5600 Desi | 9745 TL
11_Mayis | Spot Kamyon | Manisa-Denizli | 12000 Desi | 11260 TL
12_Mayis | Spot Kamyonet | Manisa-Denizli | 5600 Desi | 7854 TL
13_Mayis | Spot Kamyonet | Manisa-Denizli | 5600 Desi | 7854 TL
14_Mayis | Spot Kamyonet | Manisa-Denizli | 5600 Desi | 7854 TL
15_Mayis | Spot Kamyonet | Manisa-Denizli | 5600 Desi | 7854 TL
16_Mayis | Spot Kamyonet | Manisa-Denizli | 5600 Desi | 7854 TL
17_Mayis | Spot Kamyonet | Manisa-Denizli | 5600 Desi | 7854 TL
11_Mayis | Spot Tir | Manisa-Eskişehir | 22400 Desi | 19096 TL
12_Mayis | Spot Tir | Manisa-Eskişehir | 22400 Desi | 19096 TL
13_Mayis | Spot Tir | Manisa-Eskişehir | 22400 Desi | 19096 TL
14_Mayis | Spot Tir | Manisa-Eskişehir | 22400 Desi | 19096 TL
15_Mayis | Spot Kamyon | Manisa-Eskişehir | 12000 Desi | 13851 TL
16_Mayis | Spot Kamyonet | Manisa-Eskişehir | 5600 Desi | 10075 TL
17_Mayis | Spot Kamyonet | Manisa-Eskişehir | 5600 Desi | 10075 TL
11_Mayis | Spot Tir | Manisa-Isparta | 22400 Desi | 18933 TL
12_Mayis | Spot Tir | Manisa-Isparta | 22400 Desi | 18933 TL
13_Mayis | Spot Kamyon | Manisa-Isparta | 12000 Desi | 13714 TL
14_Mayis | Spot Kamyon | Manisa-Isparta | 12000 Desi | 13714 TL
15_Mayis | Spot Kamyon | Manisa-Isparta | 12000 Desi | 13714 TL
16_Mayis | Spot Kamyonet | Manisa-Isparta | 5600 Desi | 9958 TL
17_Mayis | Spot Kamyonet | Manisa-Isparta | 5600 Desi | 9958 TL
11_Mayis | Spot Tir | Manisa-Kütahya | 22400 Desi | 17645 TL
12_Mayis | Spot Tir | Manisa-Kütahya | 22400 Desi | 17645 TL
13_Mayis | Spot Kamyon | Manisa-Kütahya | 12000 Desi | 12632 TL
14_Mayis | Spot Kamyon | Manisa-Kütahya | 12000 Desi | 12632 TL
15_Mayis | Spot Kamyon | Manisa-Kütahya | 12000 Desi | 12632 TL
16_Mayis | Spot Kamyonet | Manisa-Kütahya | 5600 Desi | 9030 TL
17_Mayis | Spot Kamyonet | Manisa-Kütahya | 5600 Desi | 9030 TL
11_Mayis | Spot Tir | Manisa-Mersin | 22400 Desi | 28325 TL
12_Mayis | Spot Kamyon | Manisa-Mersin | 12000 Desi | 21603 TL
13_Mayis | Spot Kamyon | Manisa-Mersin | 12000 Desi | 21603 TL
