Tarih,Araç_Tipi,Çıkış_TM,Varış_TM,Araç_Sayısı,Teslim_Edilen_Desi,Maliyet_TL,Rota_Tipi
14_Mayis,Spot Kamyon,Manisa,Bilecik,1,12000,13466,Direkt
16_Mayis,Spot Kamyonet,Manisa,Bilecik,1,5600,9745,Direkt
17_Mayis,Spot Kamyonet,Manisa,Bilecik,1,5600,9745,Direkt
11_Mayis,Spot Kamyon,Manisa,Denizli,1,12000,11260,Direkt
12_Mayis,Spot Kamyonet,Manisa,Denizli,1,5600,7854,Direkt
13_Mayis,Spot Kamyonet,Manisa,Denizli,1,5600,7854,Direkt
14_Mayis,Spot Kamyonet,Manisa,Denizli,1,5600,7854,Direkt
15_Mayis,Spot Kamyonet,Manisa,Denizli,1,5600,7854,Direkt
17_Mayis,Spot Kamyonet,Manisa,Denizli,1,5600,7854,Direkt
11_Mayis,Spot Kamyon,Manisa,Eskişehir,1,12000,13851,Direkt
11_Mayis,Spot Tir,Manisa,Isparta,1,22400,18933,Direkt
12_Mayis,Spot Kamyon,Manisa,Isparta,1,12000,13714,Direkt
13_Mayis,Spot Kamyon,Manisa,Isparta,1,12000,13714,Direkt
14_Mayis,Spot Kamyon,Manisa,Isparta,1,12000,13714,Direkt
15_Mayis,Spot Kamyon,Manisa,Isparta,1,12000,13714,Direkt
16_Mayis,Spot Kamyonet,Manisa,Isparta,1,5600,9958,Direkt
17_Mayis,Spot Kamyonet,Manisa,Isparta,1,5600,9958,Direkt
12_Mayis,Spot Kamyon,Manisa,Kütahya,1,12000,12632,Direkt
13_Mayis,Spot Kamyonet,Manisa,Kütahya,1,5600,9030,Direkt
11_Mayis,Spot Kamyon,Manisa,Mersin,1,12000,21603,Direkt
12_Mayis,Spot Kamyon,Manisa,Mersin,1,12000,21603,Direkt
13_Mayis,Spot Kamyon,Manisa,Mersin,1,12000,21603,Direkt
14_Mayis,Spot Kamyon,Manisa,Mersin,1,12000,21603,Direkt
15_Mayis,Spot Kamyon,Manisa,Mersin,1,12000,21603,Direkt
17_Mayis,Spot Kamyonet,Manisa,Mersin,1,5600,16720,Direkt
11_Mayis,Spot Kamyon,Manisa,Sivas,1,12000,25184,Direkt
12_Mayis,Spot Kamyonet,Manisa,Sivas,1,5600,19789,Direkt
13_Mayis,Spot Kamyonet,Manisa,Sivas,1,5600,19789,Direkt
14_Mayis,Spot Kamyonet,Manisa,Sivas,1,5600,19789,Direkt
16_Mayis,Spot Kamyonet,Manisa,Sivas,1,5600,19789,Direkt
11_Mayis,Spot Tir,Manisa,Tekirdağ,1,22400,18260,Direkt
12_Mayis,Spot Kamyon,Manisa,Tekirdağ,1,12000,13148,Direkt
11_Mayis,Spot Tir,Manisa,Yalova,1,22400,18580,Direkt
11_Mayis,Spot Kamyonet,Mersin,Eskişehir,1,5600,13536,Direkt
12_Mayis,Spot Kamyonet,Mersin,Eskişehir,1,5600,13536,Direkt
14_Mayis,Spot Kamyonet,Mersin,Eskişehir,1,5600,13536,Direkt
16_Mayis,Spot Kamyonet,Mersin,Eskişehir,1,5600,13536,Direkt
11_Mayis,Spot Kamyonet,Mersin,Manisa,1,5600,16720,Direkt
13_Mayis,Spot Kamyonet,Mersin,Manisa,1,5600,16720,Direkt
16_Mayis,Spot Kamyonet,Mersin,Manisa,1,5600,16720,Direkt
11_Mayis,Spot Kamyon,Sivas,Eskişehir,1,12000,19298,Direkt
12_Mayis,Spot Kamyonet,Sivas,Eskişehir,1,5600,14744,Direkt
13_Mayis,Spot Kamyonet,Sivas,Eskişehir,1,5600,14744,Direkt
14_Mayis,Spot Kamyonet,Sivas,Eskişehir,1,5600,14744,Direkt
15_Mayis,Spot Kamyonet,Sivas,Eskişehir,1,5600,14744,Direkt
17_Mayis,Spot Kamyonet,Sivas,Eskişehir,1,5600,14744,Direkt
12_Mayis,Spot Kamyon,Tekirdağ,Balıkesir,1,12000,10812,Direkt
13_Mayis,Spot Kamyonet,Tekirdağ,Balıkesir,1,5600,7470,Direkt
16_Mayis,Spot Kamyonet,Tekirdağ,Bilecik,1,5600,8851,Direkt
11_Mayis,Spot Kamyonet,Tekirdağ,Denizli,1,5600,11605,Direkt
12_Mayis,Spot Kamyonet,Tekirdağ,Denizli,1,5600,11605,Direkt
13_Mayis,Spot Kamyonet,Tekirdağ,Denizli,1,5600,11605,Direkt
14_Mayis,Spot Kamyonet,Tekirdağ,Denizli,1,5600,11605,Direkt
16_Mayis,Spot Kamyonet,Tekirdağ,Denizli,1,5600,11605,Direkt
11_Mayis,Spot Tir,Tekirdağ,Eskişehir,1,22400,18893,Direkt
11_Mayis,Spot Kamyon,Tekirdağ,Isparta,1,12000,16937,Direkt
12_Mayis,Spot Kamyonet,Tekirdağ,Isparta,1,5600,12721,Direkt
13_Mayis,Spot Kamyonet,Tekirdağ,Isparta,1,5600,12721,Direkt
16_Mayis,Spot Kamyonet,Tekirdağ,Isparta,1,5600,12721,Direkt
12_Mayis,Spot Kamyonet,Tekirdağ,Kütahya,1,5600,9653,Direkt
13_Mayis,Spot Kamyonet,Tekirdağ,Kütahya,1,5600,9653,Direkt
11_Mayis,Spot Tir,Tekirdağ,Manisa,1,22400,18260,Direkt
16_Mayis,Spot Kamyonet,Tekirdağ,İstanbul,1,5600,6966,Direkt
11_Mayis,Spot Kamyon,Tekirdağ,Şanlıurfa,1,12000,29934,Direkt
13_Mayis,Spot Tir,Yalova,Balıkesir,1,22400,15749,Direkt
11_Mayis,Kiralık Kamyon,Yalova,Eskişehir,1,12000,6441,Direkt
12_Mayis,Kiralık Kamyon,Yalova,Eskişehir,1,12000,6441,Direkt
13_Mayis,Kiralık Kamyon,Yalova,Eskişehir,1,12000,6441,Direkt
14_Mayis,Kiralık Kamyon,Yalova,Eskişehir,1,12000,6441,Direkt
15_Mayis,Kiralık Kamyon,Yalova,Eskişehir,1,12000,6441,Direkt
16_Mayis,Kiralık Kamyon,Yalova,Eskişehir,1,12000,6441,Direkt
11_Mayis,Spot Tir,Yalova,Manisa,1,22400,18580,Direkt
12_Mayis,Spot Tir,Yalova,Manisa,1,22400,18580,Direkt
13_Mayis,Spot Tir,Yalova,Manisa,1,22400,18580,Direkt
14_Mayis,Spot Kamyon,Yalova,Manisa,1,12000,13418,Direkt
16_Mayis,Spot Kamyon,Yalova,Manisa,1,12000,13418,Direkt
17_Mayis,Spot Kamyonet,Yalova,Manisa,1,5600,9704,Direkt
11_Mayis,Kiralık Kamyon,Yalova,Tekirdağ,1,12000,6521,Direkt
12_Mayis,Kiralık Kamyon,Yalova,Tekirdağ,1,12000,6521,Direkt
13_Mayis,Kiralık Kamyon,Yalova,Tekirdağ,1,12000,6521,Direkt
14_Mayis,Kiralık Kamyon,Yalova,Tekirdağ,1,12000,6521,Direkt
15_Mayis,Kiralık Kamyon,Yalova,Tekirdağ,1,12000,6521,Direkt
16_Mayis,Kiralık Kamyon,Yalova,Tekirdağ,1,12000,6521,Direkt
17_Mayis,Kiralık Kamyon,Yalova,Tekirdağ,1,12000,6521,Direkt
11_Mayis,Kiralık Tir,İstanbul,Balıkesir,1,22400,9306,Direkt
12_Mayis,Kiralık Tir,İstanbul,Balıkesir,1,22400,9306,Direkt
12_Mayis,Spot Kamyon,İstanbul,Balıkesir,1,12000,11364,Direkt
13_Mayis,Kiralık Tir,İstanbul,Balıkesir,1,22400,9306,Direkt
14_Mayis,Kiralık Tir,İstanbul,Balıkesir,1,22400,9306,Direkt
15_Mayis,Kiralık Tir,İstanbul,Balıkesir,1,22400,9306,Direkt
16_Mayis,Kiralık Tir,İstanbul,Balıkesir,1,22400,9306,Direkt
16_Mayis,Spot Kamyonet,İstanbul,Bilecik,1,5600,7043,Direkt
11_Mayis,Spot Kamyon,İstanbul,Denizli,1,12000,15186,Direkt
12_Mayis,Spot Kamyon,İstanbul,Denizli,1,12000,15186,Direkt
13_Mayis,Spot Kamyon,İstanbul,Denizli,1,12000,15186,Direkt
14_Mayis,Spot Kamyonet,İstanbul,Denizli,1,5600,11220,Direkt
15_Mayis,Spot Kamyonet,İstanbul,Denizli,1,5600,11220,Direkt
17_Mayis,Spot Kamyonet,İstanbul,Denizli,1,5600,11220,Direkt
11_Mayis,Spot Tir,İstanbul,Erzincan,1,22400,34239,Direkt
14_Mayis,Spot Kamyon,İstanbul,Erzincan,1,12000,26571,Direkt
15_Mayis,Spot Kamyon,İstanbul,Erzincan,1,12000,26571,Direkt
17_Mayis,Spot Kamyonet,İstanbul,Erzincan,1,5600,20978,Direkt
11_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
12_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
13_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
14_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
15_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
15_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
16_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
16_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
17_Mayis,Kiralık Tir,İstanbul,Eskişehir,1,22400,9459,Direkt
12_Mayis,Spot Kamyon,İstanbul,Isparta,1,12000,15729,Direkt
13_Mayis,Spot Kamyon,İstanbul,Isparta,1,12000,15729,Direkt
17_Mayis,Spot Kamyonet,İstanbul,Isparta,1,5600,11685,Direkt
17_Mayis,Spot Kamyonet,İstanbul,Karaman,1,5600,14867,Direkt
15_Mayis,Spot Kamyon,İstanbul,Kütahya,1,12000,11763,Direkt
16_Mayis,Spot Kamyonet,İstanbul,Kütahya,1,5600,8286,Direkt
11_Mayis,Kiralık Tir,İstanbul,Manisa,1,22400,10858,Direkt
11_Mayis,Spot Tir,İstanbul,Manisa,1,22400,19119,Direkt
12_Mayis,Kiralık Tir,İstanbul,Manisa,1,22400,10858,Direkt
12_Mayis,Spot Kamyon,İstanbul,Manisa,1,12000,13870,Direkt
13_Mayis,Kiralık Tir,İstanbul,Manisa,1,22400,10858,Direkt
14_Mayis,Kiralık Tir,İstanbul,Manisa,1,22400,10858,Direkt
15_Mayis,Kiralık Tir,İstanbul,Manisa,1,22400,10858,Direkt
16_Mayis,Kiralık Tir,İstanbul,Manisa,1,22400,10858,Direkt
17_Mayis,Kiralık Tir,İstanbul,Manisa,1,22400,10858,Direkt
13_Mayis,Spot Tir,İstanbul,Mardin,1,22400,38984,Direkt
17_Mayis,Spot Kamyonet,İstanbul,Mardin,1,5600,24394,Direkt
11_Mayis,Spot Tir,İstanbul,Mersin,1,22400,28619,Direkt
12_Mayis,Spot Tir,İstanbul,Mersin,1,22400,28619,Direkt
15_Mayis,Spot Tir,İstanbul,Mersin,1,22400,28619,Direkt
11_Mayis,Spot Tir,İstanbul,Sivas,1,22400,29075,Direkt
12_Mayis,Spot Kamyon,İstanbul,Sivas,1,12000,22233,Direkt
13_Mayis,Spot Kamyon,İstanbul,Sivas,1,12000,22233,Direkt
14_Mayis,Spot Kamyon,İstanbul,Sivas,1,12000,22233,Direkt
15_Mayis,Spot Kamyon,İstanbul,Sivas,1,12000,22233,Direkt
16_Mayis,Spot Kamyonet,İstanbul,Sivas,1,5600,17260,Direkt
17_Mayis,Spot Kamyonet,İstanbul,Sivas,1,5600,17260,Direkt
11_Mayis,Kiralık Tir,İstanbul,Tekirdağ,1,22400,8601,Direkt
12_Mayis,Kiralık Tir,İstanbul,Tekirdağ,1,22400,8601,Direkt
13_Mayis,Kiralık Tir,İstanbul,Tekirdağ,1,22400,8601,Direkt
14_Mayis,Kiralık Tir,İstanbul,Tekirdağ,1,22400,8601,Direkt
15_Mayis,Kiralık Tir,İstanbul,Tekirdağ,1,22400,8601,Direkt
16_Mayis,Kiralık Tir,İstanbul,Tekirdağ,1,22400,8601,Direkt
17_Mayis,Kiralık Tir,İstanbul,Tekirdağ,1,22400,8601,Direkt
11_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
11_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
12_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
12_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
13_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
13_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
14_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
14_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
15_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
15_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
16_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
16_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
17_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
17_Mayis,Kiralık Tir,İstanbul,Yalova,1,22400,7606,Direkt
16_Mayis,Spot Kamyonet,İstanbul,Zonguldak,1,5600,9088,Direkt
14_Mayis,Spot Kamyon,İstanbul,Şanlıurfa,1,12000,27558,Direkt
15_Mayis,Spot Kamyon,İstanbul,Şanlıurfa,1,12000,27558,Direkt
16_Mayis,Spot Kamyonet,İstanbul,Şanlıurfa,1,5600,21825,Direkt
17_Mayis,Spot Kamyonet,İstanbul,Şanlıurfa,1,5600,21825,Direkt
11_Mayis,Spot Kamyon,Balıkesir,Eskişehir,1,12000,12876,Uğrama (Bilecik)
12_Mayis,Spot Kamyon,Balıkesir,Eskişehir,1,12000,12876,Uğrama (Bilecik)
14_Mayis,Spot Kamyon,Balıkesir,Eskişehir,1,12000,12876,Uğrama (Bilecik)
16_Mayis,Spot Kamyonet,Balıkesir,Eskişehir,1,5600,9240,Uğrama (Bilecik)
11_Mayis,Spot Tir,Balıkesir,İstanbul,1,22400,16915,Uğrama (Yalova)
14_Mayis,Spot Kamyonet,Balıkesir,İstanbul,1,5600,8505,Uğrama (Yalova)
11_Mayis,Spot Kamyon,Eskişehir,Tekirdağ,1,12000,14198,Uğrama (İstanbul)
13_Mayis,Spot Kamyon,Eskişehir,Tekirdağ,1,12000,14198,Uğrama (İstanbul)
11_Mayis,Spot Tir,Eskişehir,Tekirdağ,1,22400,19106,Uğrama (Yalova)
12_Mayis,Spot Tir,Eskişehir,Tekirdağ,1,22400,19106,Uğrama (Yalova)
14_Mayis,Spot Kamyon,Eskişehir,Tekirdağ,1,12000,13859,Uğrama (Yalova)
15_Mayis,Spot Kamyonet,Eskişehir,Tekirdağ,1,5600,10082,Uğrama (Yalova)
12_Mayis,Spot Kamyon,Eskişehir,İstanbul,1,12000,11643,Uğrama (Yalova)
13_Mayis,Spot Kamyon,Eskişehir,İstanbul,1,12000,11643,Uğrama (Yalova)
14_Mayis,Spot Kamyon,Eskişehir,İstanbul,1,12000,11643,Uğrama (Yalova)
15_Mayis,Spot Kamyon,Eskişehir,İstanbul,1,12000,11643,Uğrama (Yalova)
16_Mayis,Spot Kamyonet,Eskişehir,İstanbul,1,5600,8183,Uğrama (Yalova)
17_Mayis,Spot Kamyonet,Eskişehir,İstanbul,1,5600,8183,Uğrama (Yalova)
11_Mayis,Spot Tir,Kocaeli,Balıkesir,1,22400,18081,Uğrama (İstanbul)
13_Mayis,Spot Tir,Kocaeli,Balıkesir,1,22400,18081,Uğrama (İstanbul)
14_Mayis,Spot Kamyon,Kocaeli,Balıkesir,1,12000,12998,Uğrama (İstanbul)
11_Mayis,Spot Tir,Kocaeli,Balıkesir,1,22400,17162,Uğrama (Yalova)
11_Mayis,Spot Kamyon,Kocaeli,Balıkesir,1,12000,12226,Uğrama (Yalova)
12_Mayis,Spot Tir,Kocaeli,Balıkesir,1,22400,17162,Uğrama (Yalova)
14_Mayis,Spot Tir,Kocaeli,Balıkesir,1,22400,17162,Uğrama (Yalova)
15_Mayis,Spot Kamyon,Kocaeli,Balıkesir,1,12000,12226,Uğrama (Yalova)
16_Mayis,Spot Kamyon,Kocaeli,Balıkesir,1,12000,12226,Uğrama (Yalova)
11_Mayis,Spot Tir,Kocaeli,Erzincan,1,22400,34164,Uğrama (Eskişehir)
13_Mayis,Spot Kamyon,Kocaeli,Erzincan,1,12000,26508,Uğrama (Eskişehir)
14_Mayis,Spot Kamyon,Kocaeli,Erzincan,1,12000,26508,Uğrama (Eskişehir)
15_Mayis,Spot Kamyon,Kocaeli,Erzincan,1,12000,26508,Uğrama (Eskişehir)
13_Mayis,Kiralık Kamyon,Kocaeli,Eskişehir,1,12000,6406,Uğrama (Bilecik)
13_Mayis,Spot Kamyon,Kocaeli,Eskişehir,1,12000,10592,Uğrama (Bilecik)
15_Mayis,Kiralık Kamyon,Kocaeli,Eskişehir,1,12000,6406,Uğrama (Bilecik)
15_Mayis,Spot Kamyonet,Kocaeli,Eskişehir,1,5600,7282,Uğrama (Bilecik)
17_Mayis,Kiralık Kamyon,Kocaeli,Eskişehir,1,12000,6406,Uğrama (Bilecik)
12_Mayis,Spot Kamyon,Kocaeli,Isparta,1,12000,15095,Uğrama (Eskişehir)
13_Mayis,Spot Kamyon,Kocaeli,Isparta,1,12000,15095,Uğrama (Eskişehir)
17_Mayis,Spot Kamyonet,Kocaeli,Isparta,1,5600,11142,Uğrama (Eskişehir)
11_Mayis,Spot Tir,Kocaeli,Kütahya,1,22400,16510,Uğrama (Eskişehir)
12_Mayis,Spot Tir,Kocaeli,Kütahya,1,22400,16510,Uğrama (Eskişehir)
13_Mayis,Spot Tir,Kocaeli,Kütahya,1,22400,16510,Uğrama (Eskişehir)
14_Mayis,Spot Kamyon,Kocaeli,Kütahya,1,12000,11678,Uğrama (Eskişehir)
15_Mayis,Spot Kamyon,Kocaeli,Kütahya,1,12000,11678,Uğrama (Eskişehir)
16_Mayis,Spot Kamyonet,Kocaeli,Kütahya,1,5600,8213,Uğrama (Eskişehir)
11_Mayis,Spot Tir,Kocaeli,Manisa,1,22400,20602,Uğrama (Bilecik)
12_Mayis,Spot Tir,Kocaeli,Manisa,1,22400,20602,Uğrama (Bilecik)
14_Mayis,Spot Tir,Kocaeli,Manisa,1,22400,20602,Uğrama (Bilecik)
15_Mayis,Spot Tir,Kocaeli,Manisa,1,22400,20602,Uğrama (Bilecik)
16_Mayis,Spot Tir,Kocaeli,Manisa,1,22400,20602,Uğrama (Bilecik)
17_Mayis,Spot Kamyon,Kocaeli,Manisa,1,12000,15116,Uğrama (Bilecik)
12_Mayis,Spot Tir,Kocaeli,Manisa,1,22400,20127,Uğrama (Balıkesir)
11_Mayis,Spot Tir,Kocaeli,Manisa,1,22400,19993,Uğrama (Yalova)
13_Mayis,Spot Tir,Kocaeli,Manisa,1,22400,19993,Uğrama (Yalova)
11_Mayis,Spot Tir,Kocaeli,Mardin,1,22400,38179,Uğrama (Eskişehir)
13_Mayis,Spot Tir,Kocaeli,Mardin,1,22400,38179,Uğrama (Eskişehir)
15_Mayis,Spot Kamyon,Kocaeli,Mardin,1,12000,29881,Uğrama (Eskişehir)
12_Mayis,Spot Kamyonet,Kocaeli,Mersin,1,5600,15902,Uğrama (Eskişehir)
13_Mayis,Spot Kamyonet,Kocaeli,Mersin,1,5600,15902,Uğrama (Eskişehir)
15_Mayis,Spot Tir,Kocaeli,Mersin,1,22400,27188,Uğrama (Eskişehir)
12_Mayis,Spot Tir,Kocaeli,Tekirdağ,1,22400,16723,Uğrama (İstanbul)
13_Mayis,Spot Tir,Kocaeli,Tekirdağ,1,22400,16916,Uğrama (Yalova)
14_Mayis,Spot Kamyonet,Kocaeli,Tekirdağ,1,5600,8505,Uğrama (Yalova)
15_Mayis,Spot Kamyonet,Kocaeli,Tekirdağ,1,5600,8505,Uğrama (Yalova)
15_Mayis,Spot Kamyonet,Kocaeli,İstanbul,1,5600,6606,Uğrama (Yalova)
11_Mayis,Spot Tir,Kocaeli,Şanlıurfa,1,22400,34402,Uğrama (Eskişehir)
12_Mayis,Spot Tir,Kocaeli,Şanlıurfa,1,22400,34402,Uğrama (Eskişehir)
