date,source,destination,q10,q50,q90,forecast_demand
2026-05-11,İstanbul,Eskişehir,44574.85,50482.5,63141.76,63141.76
2026-05-11,İstanbul,Isparta,12966.51,14895.06,19027.68,19027.68
2026-05-11,İstanbul,Karaman,10818.68,12320.2,15537.74,15537.74
2026-05-11,İstanbul,Kütahya,17161.43,19340.08,24008.62,24008.62
2026-05-11,İstanbul,Manisa,40525.38,46311.88,58711.52,58711.52
2026-05-11,İstanbul,Mardin,17753.91,20134.35,25235.29,25235.29
2026-05-11,İstanbul,Mersin,25611.12,29094.88,36560.09,36560.09
2026-05-11,İstanbul,Sivas,14944.85,16863.82,20975.9,20975.9
2026-05-11,İstanbul,Tekirdağ,37637.31,42506.46,52940.35,52940.35
2026-05-11,İstanbul,Yalova,46776.79,52981.04,66275.86,66275.86
2026-05-11,İstanbul,Zonguldak,10897.91,12473.05,15848.36,15848.36
2026-05-11,İstanbul,Şanlıurfa,16135.14,18604.14,23894.86,23894.86
2026-05-11,Şanlıurfa,Eskişehir,7831.39,8804.41,10889.46,10889.46
2026-05-11,Şanlıurfa,Manisa,7321.75,8585.52,11293.59,11293.59
2026-05-11,Şanlıurfa,Tekirdağ,7202.56,8214.04,10381.49,10381.49
2026-05-12,Balıkesir,Bilecik,5066.38,6097.08,8305.73,8305.73
2026-05-12,Balıkesir,Eskişehir,8815.85,10580.8,14362.84,14362.84
2026-05-12,Balıkesir,Manisa,9406.1,11232.46,15146.1,15146.1
2026-05-12,Balıkesir,Tekirdağ,8514.54,10206.56,13832.32,13832.32
2026-05-12,Balıkesir,Yalova,10429.58,12555.62,17111.41,17111.41
2026-05-12,Balıkesir,İstanbul,8427.09,10059.53,13557.62,13557.62
2026-05-12,Bilecik,Eskişehir,6936.18,8161.8,10788.12,10788.12
2026-05-12,Bilecik,Manisa,7506.39,8776.08,11496.84,11496.84
2026-05-12,Eskişehir,Balıkesir,8911.26,10606.18,14238.16,14238.16
2026-05-12,Eskişehir,Bilecik,5842.05,7053.18,9648.46,9648.46
2026-05-12,Eskişehir,Erzincan,4092.11,5035.25,7056.27,7056.27
2026-05-12,Eskişehir,Isparta,3426.14,4054.08,5399.66,5399.66
2026-05-12,Eskişehir,Kütahya,4045.25,4888.53,6695.57,6695.57
2026-05-12,Eskişehir,Manisa,9430.92,11365.2,15510.09,15510.09
2026-05-12,Eskişehir,Mardin,5021.48,5994.41,8079.27,8079.27
2026-05-12,Eskişehir,Mersin,5264.82,6325.95,8599.8,8599.8
2026-05-12,Eskişehir,Tekirdağ,9240.85,11059.2,14955.67,14955.67
2026-05-12,Eskişehir,Yalova,14314.01,17201.7,23389.61,23389.61
2026-05-12,Eskişehir,İstanbul,8840.06,10638.4,14491.98,14491.98
2026-05-12,Eskişehir,Şanlıurfa,4956.29,5993.25,8215.31,8215.31
2026-05-12,Kocaeli,Balıkesir,20538.28,23730.76,30571.79,30571.79
2026-05-12,Kocaeli,Bilecik,12376.18,14200.94,18111.15,18111.15
2026-05-12,Kocaeli,Erzincan,9305.13,10610.65,13408.18,13408.18
2026-05-12,Kocaeli,Eskişehir,16324.22,18642.0,23608.67,23608.67
2026-05-12,Kocaeli,Isparta,6972.01,7943.25,10024.49,10024.49
2026-05-12,Kocaeli,Kütahya,8371.04,9633.3,12338.15,12338.15
2026-05-12,Kocaeli,Manisa,12005.42,13972.92,18188.99,18188.99
2026-05-12,Kocaeli,Mardin,8128.72,9414.39,12169.4,12169.4
2026-05-12,Kocaeli,Mersin,14366.33,16611.15,21421.49,21421.49
2026-05-12,Kocaeli,Sivas,6776.06,7806.22,10013.7,10013.7
2026-05-12,Kocaeli,Tekirdağ,23720.27,27256.05,34832.72,34832.72
2026-05-12,Kocaeli,Yalova,27845.58,32177.89,41461.4,41461.4
2026-05-12,Kocaeli,İstanbul,21315.02,24458.16,31193.47,31193.47
2026-05-12,Kocaeli,Şanlıurfa,9406.05,10917.44,14156.12,14156.12
2026-05-12,Kütahya,Eskişehir,3059.77,3635.4,4868.89,4868.89
2026-05-12,Manisa,Balıkesir,18613.25,21652.02,28163.67,28163.67
2026-05-12,Manisa,Bilecik,14130.92,16400.24,21263.06,21263.06
2026-05-12,Manisa,Denizli,4871.26,5874.12,8023.1,8023.1
2026-05-12,Manisa,Eskişehir,15350.99,17969.04,23579.15,23579.15
2026-05-12,Manisa,Isparta,10610.17,12396.48,16224.29,16224.29
2026-05-12,Manisa,Kütahya,11414.18,13192.91,17004.47,17004.47
2026-05-12,Manisa,Mersin,2380.28,4482.3,8986.62,8986.62
2026-05-12,Manisa,Sivas,5346.58,6497.7,8964.39,8964.39
2026-05-12,Manisa,Tekirdağ,16513.32,19565.7,26106.5,26106.5
2026-05-12,Manisa,Yalova,20314.85,23990.72,31867.58,31867.58
2026-05-12,Manisa,İstanbul,13084.97,15679.82,21240.21,21240.21
2026-05-12,Mersin,Eskişehir,3663.14,4392.08,5954.09,5954.09
2026-05-12,Mersin,Manisa,2955.8,3839.94,5734.53,5734.53
2026-05-12,Sivas,Eskişehir,7089.7,8327.55,10980.08,10980.08
2026-05-12,Tekirdağ,Balıkesir,12036.56,14711.76,20444.33,20444.33
2026-05-12,Tekirdağ,Bilecik,7938.77,9597.89,13153.15,13153.15
2026-05-12,Tekirdağ,Denizli,3352.09,4159.12,5888.48,5888.48
2026-05-12,Tekirdağ,Eskişehir,15799.74,19180.22,26424.11,26424.11
2026-05-12,Tekirdağ,Isparta,5011.13,6158.88,8618.35,8618.35
2026-05-12,Tekirdağ,Karaman,3763.97,4705.04,6721.61,6721.61
2026-05-12,Tekirdağ,Kütahya,5021.29,6115.2,8459.29,8459.29
2026-05-12,Tekirdağ,Manisa,13911.88,16915.5,23351.84,23351.84
2026-05-12,Tekirdağ,Mersin,7156.9,8986.55,12907.24,12907.24
2026-05-12,Tekirdağ,Yalova,18877.6,23048.18,31985.13,31985.13
2026-05-12,Tekirdağ,Zonguldak,3284.95,3987.75,5493.74,5493.74
2026-05-12,Tekirdağ,İstanbul,14080.36,17089.75,23538.44,23538.44
2026-05-12,Tekirdağ,Şanlıurfa,5229.58,6627.95,9624.47,9624.47
2026-05-12,Yalova,Balıkesir,14863.86,18631.83,26706.06,26706.06
2026-05-12,Yalova,Bilecik,9141.78,11258.44,15794.13,15794.13
2026-05-12,Yalova,Eskişehir,20226.21,25005.69,35247.43,35247.43
2026-05-12,Yalova,Kütahya,6170.81,7599.68,10661.54,10661.54
2026-05-12,Yalova,Manisa,17566.25,21640.78,30371.92,30371.92
2026-05-12,Yalova,Mersin,9165.74,11309.76,15904.1,15904.1
2026-05-12,Yalova,Tekirdağ,19613.86,24071.38,33623.2,33623.2
2026-05-12,Yalova,İstanbul,18062.51,22245.26,31208.29,31208.29
2026-05-12,İstanbul,Balıkesir,28239.65,33630.72,45183.02,45183.02
2026-05-12,İstanbul,Bilecik,15824.37,18886.68,25448.76,25448.76
2026-05-12,İstanbul,Denizli,8926.97,10589.16,14150.99,14150.99
2026-05-12,İstanbul,Erzincan,13230.32,15836.25,21420.38,21420.38
2026-05-12,İstanbul,Eskişehir,29745.45,35653.1,48312.36,48312.36
2026-05-12,İstanbul,Isparta,10625.61,12554.16,16686.78,16686.78
2026-05-12,İstanbul,Karaman,6988.12,8489.64,11707.18,11707.18
2026-05-12,İstanbul,Kütahya,12229.77,14408.42,19076.96,19076.96
2026-05-12,İstanbul,Manisa,30855.18,36641.68,49041.32,49041.32
2026-05-12,İstanbul,Mardin,12469.59,14850.03,19950.97,19950.97
2026-05-12,İstanbul,Mersin,18407.48,21891.24,29356.45,29356.45
2026-05-12,İstanbul,Sivas,10090.43,12009.4,16121.48,16121.48
2026-05-12,İstanbul,Tekirdağ,26367.33,31236.48,41670.37,41670.37
2026-05-12,İstanbul,Yalova,33500.45,39704.7,52999.52,52999.52
2026-05-12,İstanbul,Zonguldak,8340.7,9915.84,13291.15,13291.15
2026-05-12,İstanbul,Şanlıurfa,5532.3,8001.3,13292.02,13292.02
2026-05-12,Şanlıurfa,Eskişehir,4870.67,5843.69,7928.74,7928.74
2026-05-12,Şanlıurfa,Manisa,0.0,527.88,3235.95,3235.95
2026-05-12,Şanlıurfa,Tekirdağ,4572.96,5584.44,7751.89,7751.89
2026-05-13,Balıkesir,Bilecik,4567.9,5598.6,7807.25,7807.25
2026-05-13,Balıkesir,Eskişehir,7537.45,9302.4,13084.44,13084.44
2026-05-13,Balıkesir,Manisa,7997.63,9823.99,13737.63,13737.63
2026-05-13,Balıkesir,Tekirdağ,7771.98,9464.0,13089.76,13089.76
2026-05-13,Balıkesir,Yalova,8956.46,11082.5,15638.29,15638.29
2026-05-13,Balıkesir,İstanbul,6882.94,8515.38,12013.47,12013.47
2026-05-13,Bilecik,Eskişehir,4866.74,6092.36,8718.68,8718.68
2026-05-13,Bilecik,Manisa,5527.47,6797.16,9517.92,9517.92
2026-05-13,Eskişehir,Balıkesir,8792.7,10487.62,14119.6,14119.6
2026-05-13,Eskişehir,Bilecik,5903.92,7115.05,9710.33,9710.33
2026-05-13,Eskişehir,Erzincan,4320.36,5263.5,7284.52,7284.52
2026-05-13,Eskişehir,Isparta,3253.94,3881.88,5227.46,5227.46
2026-05-13,Eskişehir,Kütahya,4058.3,4901.58,6708.62,6708.62
2026-05-13,Eskişehir,Manisa,9168.84,11103.12,15248.01,15248.01
2026-05-13,Eskişehir,Mardin,4253.56,5226.49,7311.35,7311.35
2026-05-13,Eskişehir,Mersin,4908.33,5969.46,8243.31,8243.31
2026-05-13,Eskişehir,Tekirdağ,8727.25,10545.6,14442.07,14442.07
2026-05-13,Eskişehir,Yalova,13177.31,16065.0,22252.91,22252.91
2026-05-13,Eskişehir,İstanbul,8847.38,10645.72,14499.3,14499.3
2026-05-13,Eskişehir,Şanlıurfa,5041.69,6078.65,8300.71,8300.71
2026-05-13,Kocaeli,Balıkesir,24529.57,27722.05,34563.08,34563.08
2026-05-13,Kocaeli,Bilecik,14000.6,15825.36,19735.57,19735.57
2026-05-13,Kocaeli,Erzincan,9722.98,11028.5,13826.03,13826.03
2026-05-13,Kocaeli,Eskişehir,16937.82,19255.6,24222.27,24222.27
2026-05-13,Kocaeli,Isparta,7174.31,8145.55,10226.79,10226.79
2026-05-13,Kocaeli,Kütahya,7797.77,9060.03,11764.88,11764.88
2026-05-13,Kocaeli,Manisa,14317.34,16284.84,20500.91,20500.91
2026-05-13,Kocaeli,Mardin,9028.33,10314.0,13069.01,13069.01
2026-05-13,Kocaeli,Mersin,15731.63,17976.45,22786.79,22786.79
2026-05-13,Kocaeli,Sivas,7020.2,8050.36,10257.84,10257.84
2026-05-13,Kocaeli,Tekirdağ,24769.22,28305.0,35881.67,35881.67
2026-05-13,Kocaeli,Yalova,31666.6,35998.91,45282.42,45282.42
2026-05-13,Kocaeli,İstanbul,24096.56,27239.7,33975.01,33975.01
2026-05-13,Kocaeli,Şanlıurfa,9756.61,11268.0,14506.68,14506.68
2026-05-13,Kütahya,Eskişehir,2434.78,3010.41,4243.9,4243.9
2026-05-13,Manisa,Balıkesir,19632.41,22671.18,29182.83,29182.83
2026-05-13,Manisa,Bilecik,13166.2,15435.52,20298.34,20298.34
2026-05-13,Manisa,Denizli,5234.14,6237.0,8385.98,8385.98
2026-05-13,Manisa,Eskişehir,11197.31,13815.36,19425.47,19425.47
2026-05-13,Manisa,Isparta,11249.53,13035.84,16863.65,16863.65
2026-05-13,Manisa,Kütahya,11371.08,13149.81,16961.37,16961.37
2026-05-13,Manisa,Mersin,2135.73,4237.75,8742.07,8742.07
2026-05-13,Manisa,Sivas,5461.14,6612.26,9078.95,9078.95
2026-05-13,Manisa,Tekirdağ,17701.32,20753.7,27294.5,27294.5
2026-05-13,Manisa,Yalova,22283.53,25959.4,33836.26,33836.26
2026-05-13,Manisa,İstanbul,14731.03,17325.88,22886.27,22886.27
2026-05-13,Mersin,Eskişehir,3410.14,4139.08,5701.09,5701.09
2026-05-13,Mersin,Manisa,824.06,1708.2,3602.79,3602.79
2026-05-13,Sivas,Eskişehir,6693.15,7931.0,10583.53,10583.53
2026-05-13,Tekirdağ,Balıkesir,10925.24,13600.44,19333.01,19333.01
2026-05-13,Tekirdağ,Bilecik,7253.62,8912.74,12468.0,12468.0
2026-05-13,Tekirdağ,Denizli,2940.49,3747.52,5476.88,5476.88
2026-05-13,Tekirdağ,Eskişehir,13868.73,17249.21,24493.1,24493.1
2026-05-13,Tekirdağ,Isparta,4400.13,5547.88,8007.35,8007.35
2026-05-13,Tekirdağ,Karaman,3259.27,4200.34,6216.91,6216.91
2026-05-13,Tekirdağ,Kütahya,3951.13,5045.04,7389.13,7389.13
2026-05-13,Tekirdağ,Manisa,12348.85,15352.47,21788.81,21788.81
2026-05-13,Tekirdağ,Mersin,1812.72,3642.37,7563.06,7563.06
2026-05-13,Tekirdağ,Yalova,17259.73,21430.31,30367.26,30367.26
2026-05-13,Tekirdağ,Zonguldak,2820.85,3523.65,5029.64,5029.64
2026-05-13,Tekirdağ,İstanbul,12376.31,15385.7,21834.39,21834.39
2026-05-13,Tekirdağ,Şanlıurfa,1608.06,3006.43,6002.95,6002.95
2026-05-13,Yalova,Balıkesir,14949.54,18717.51,26791.74,26791.74
2026-05-13,Yalova,Bilecik,8456.38,10573.04,15108.73,15108.73
2026-05-13,Yalova,Eskişehir,17374.77,22154.25,32395.99,32395.99
2026-05-13,Yalova,Kütahya,5544.25,6973.12,10034.98,10034.98
2026-05-13,Yalova,Manisa,15603.42,19677.95,28409.09,28409.09
2026-05-13,Yalova,Mersin,7993.1,10137.12,14731.46,14731.46
2026-05-13,Yalova,Tekirdağ,17836.98,22294.5,31846.32,31846.32
2026-05-13,Yalova,İstanbul,15755.62,19938.37,28901.4,28901.4
2026-05-13,İstanbul,Balıkesir,24999.19,30390.26,41942.56,41942.56
2026-05-13,İstanbul,Bilecik,14858.37,17920.68,24482.76,24482.76
2026-05-13,İstanbul,Denizli,8516.17,10178.36,13740.19,13740.19
2026-05-13,İstanbul,Erzincan,11827.46,14433.39,20017.52,20017.52
2026-05-13,İstanbul,Eskişehir,28794.1,34701.75,47361.01,47361.01
2026-05-13,İstanbul,Isparta,10625.61,12554.16,16686.78,16686.78
2026-05-13,İstanbul,Karaman,5893.29,7394.81,10612.35,10612.35
2026-05-13,İstanbul,Kütahya,10203.35,12382.0,17050.54,17050.54
2026-05-13,İstanbul,Manisa,25873.82,31660.32,44059.96,44059.96
2026-05-13,İstanbul,Mardin,11254.56,13635.0,18735.94,18735.94
2026-05-13,İstanbul,Mersin,16404.36,19888.12,27353.33,27353.33
2026-05-13,İstanbul,Sivas,8889.49,10808.46,14920.54,14920.54
2026-05-13,İstanbul,Tekirdağ,23324.07,28193.22,38627.11,38627.11
2026-05-13,İstanbul,Yalova,27696.26,33900.51,47195.33,47195.33
2026-05-13,İstanbul,Zonguldak,7126.26,8701.4,12076.71,12076.71
2026-05-13,İstanbul,Şanlıurfa,11388.0,13857.0,19147.72,19147.72
2026-05-13,Şanlıurfa,Eskişehir,4525.46,5498.48,7583.53,7583.53
2026-05-13,Şanlıurfa,Manisa,0.0,116.2,2824.27,2824.27
2026-05-13,Şanlıurfa,Tekirdağ,4019.36,5030.84,7198.29,7198.29
2026-05-14,Balıkesir,Bilecik,3161.74,4192.44,6401.09,6401.09
2026-05-14,Balıkesir,Eskişehir,5463.45,7228.4,11010.44,11010.44
2026-05-14,Balıkesir,Manisa,5653.71,7480.07,11393.71,11393.71
2026-05-14,Balıkesir,Tekirdağ,5012.86,6704.88,10330.64,10330.64
2026-05-14,Balıkesir,Yalova,6194.36,8320.4,12876.19,12876.19
2026-05-14,Balıkesir,İstanbul,5206.93,6839.37,10337.46,10337.46
2026-05-14,Bilecik,Eskişehir,3943.52,5169.14,7795.46,7795.46
2026-05-14,Bilecik,Manisa,4016.99,5286.68,8007.44,8007.44
2026-05-14,Eskişehir,Balıkesir,5270.48,6965.4,10597.38,10597.38
2026-05-14,Eskişehir,Bilecik,3612.04,4823.17,7418.45,7418.45
2026-05-14,Eskişehir,Erzincan,2384.36,3327.5,5348.52,5348.52
2026-05-14,Eskişehir,Isparta,1964.9,2592.84,3938.42,3938.42
2026-05-14,Eskişehir,Kütahya,2489.69,3332.97,5140.01,5140.01
2026-05-14,Eskişehir,Manisa,6031.44,7965.72,12110.61,12110.61
2026-05-14,Eskişehir,Mardin,2671.38,3644.31,5729.17,5729.17
2026-05-14,Eskişehir,Mersin,2885.89,3947.02,6220.87,6220.87
2026-05-14,Eskişehir,Tekirdağ,5496.85,7315.2,11211.67,11211.67
2026-05-14,Eskişehir,Yalova,7820.51,10708.2,16896.11,16896.11
2026-05-14,Eskişehir,İstanbul,5263.02,7061.36,10914.94,10914.94
2026-05-14,Eskişehir,Şanlıurfa,3104.94,4141.9,6363.96,6363.96
2026-05-14,Kocaeli,Balıkesir,15690.49,18882.97,25724.0,25724.0
2026-05-14,Kocaeli,Bilecik,9778.24,11603.0,15513.21,15513.21
2026-05-14,Kocaeli,Erzincan,7496.73,8802.25,11599.78,11599.78
2026-05-14,Kocaeli,Eskişehir,13136.62,15454.4,20421.07,20421.07
2026-05-14,Kocaeli,Isparta,5240.56,6211.8,8293.04,8293.04
2026-05-14,Kocaeli,Kütahya,3749.42,5011.68,7716.53,7716.53
2026-05-14,Kocaeli,Manisa,8791.04,10758.54,14974.61,14974.61
2026-05-14,Kocaeli,Mardin,6432.64,7718.31,10473.32,10473.32
2026-05-14,Kocaeli,Mersin,10104.38,12349.2,17159.54,17159.54
2026-05-14,Kocaeli,Sivas,4760.34,5790.5,7997.98,7997.98
2026-05-14,Kocaeli,Tekirdağ,15883.67,19419.45,26996.12,26996.12
2026-05-14,Kocaeli,Yalova,19206.51,23538.82,32822.33,32822.33
2026-05-14,Kocaeli,İstanbul,16285.22,19428.36,26163.67,26163.67
2026-05-14,Kocaeli,Şanlıurfa,6301.09,7812.48,11051.16,11051.16
2026-05-14,Kütahya,Eskişehir,1426.33,2001.96,3235.45,3235.45
2026-05-14,Manisa,Balıkesir,13626.89,16665.66,23177.31,23177.31
2026-05-14,Manisa,Bilecik,5845.22,8114.54,12977.36,12977.36
2026-05-14,Manisa,Denizli,5023.54,6026.4,8175.38,8175.38
2026-05-14,Manisa,Eskişehir,10124.87,12742.92,18353.03,18353.03
2026-05-14,Manisa,Isparta,5375.41,7161.72,10989.53,10989.53
2026-05-14,Manisa,Kütahya,9091.09,10869.82,14681.38,14681.38
2026-05-14,Manisa,Mersin,0.0,10.05,4514.37,4514.37
2026-05-14,Manisa,Sivas,3950.38,5101.5,7568.19,7568.19
2026-05-14,Manisa,Tekirdağ,9349.02,12401.4,18942.2,18942.2
2026-05-14,Manisa,Yalova,11049.73,14725.6,22602.46,22602.46
2026-05-14,Manisa,İstanbul,10644.61,13239.46,18799.85,18799.85
2026-05-14,Mersin,Eskişehir,2339.95,3068.89,4630.9,4630.9
2026-05-14,Mersin,Manisa,1430.62,2314.76,4209.35,4209.35
2026-05-14,Sivas,Eskişehir,3804.0,5041.85,7694.38,7694.38
2026-05-14,Tekirdağ,Balıkesir,6920.96,9596.16,15328.73,15328.73
2026-05-14,Tekirdağ,Bilecik,4435.82,6094.94,9650.2,9650.2
2026-05-14,Tekirdağ,Denizli,1123.57,1930.6,3659.96,3659.96
2026-05-14,Tekirdağ,Eskişehir,9137.66,12518.14,19762.03,19762.03
2026-05-14,Tekirdağ,Isparta,1608.33,2756.08,5215.55,5215.55
2026-05-14,Tekirdağ,Karaman,2163.35,3104.42,5120.99,5120.99
2026-05-14,Tekirdağ,Kütahya,2831.97,3925.88,6269.97,6269.97
2026-05-14,Tekirdağ,Manisa,7867.66,10871.28,17307.62,17307.62
2026-05-14,Tekirdağ,Mersin,3762.83,5592.48,9513.17,9513.17
2026-05-14,Tekirdağ,Yalova,10808.15,14978.73,23915.68,23915.68
2026-05-14,Tekirdağ,Zonguldak,872.8,1575.6,3081.59,3081.59
2026-05-14,Tekirdağ,İstanbul,7931.99,10941.38,17390.07,17390.07
2026-05-14,Tekirdağ,Şanlıurfa,274.35,1672.72,4669.24,4669.24
2026-05-14,Yalova,Balıkesir,9116.16,12884.13,20958.36,20958.36
2026-05-14,Yalova,Bilecik,4689.66,6806.32,11342.01,11342.01
2026-05-14,Yalova,Eskişehir,10566.63,15346.11,25587.85,25587.85
2026-05-14,Yalova,Kütahya,2897.21,4326.08,7387.94,7387.94
2026-05-14,Yalova,Manisa,8337.97,12412.5,21143.64,21143.64
2026-05-14,Yalova,Mersin,446.54,2590.56,7184.9,7184.9
2026-05-14,Yalova,Tekirdağ,10004.68,14462.2,24014.02,24014.02
2026-05-14,Yalova,İstanbul,7742.58,11925.33,20888.36,20888.36
2026-05-14,İstanbul,Balıkesir,15009.03,20400.1,31952.4,31952.4
2026-05-14,İstanbul,Bilecik,8430.33,11492.64,18054.72,18054.72
2026-05-14,İstanbul,Denizli,5033.85,6696.04,10257.87,10257.87
2026-05-14,İstanbul,Erzincan,7702.31,10308.24,15892.37,15892.37
2026-05-14,İstanbul,Eskişehir,15864.75,21772.4,34431.66,34431.66
2026-05-14,İstanbul,Isparta,6203.91,8132.46,12265.08,12265.08
2026-05-14,İstanbul,Karaman,3536.85,5038.37,8255.91,8255.91
2026-05-14,İstanbul,Kütahya,5827.37,8006.02,12674.56,12674.56
2026-05-14,İstanbul,Manisa,14334.9,20121.4,32521.04,32521.04
2026-05-14,İstanbul,Mardin,6879.24,9259.68,14360.62,14360.62
2026-05-14,İstanbul,Mersin,9559.88,13043.64,20508.85,20508.85
2026-05-14,İstanbul,Sivas,5611.49,7530.46,11642.54,11642.54
2026-05-14,İstanbul,Tekirdağ,12904.95,17774.1,28207.99,28207.99
2026-05-14,İstanbul,Yalova,15321.24,21525.49,34820.31,34820.31
2026-05-14,İstanbul,Zonguldak,4371.86,5947.0,9322.31,9322.31
