source,destination,distance_km,Tir_Suresi_Saat,Kamyon_Suresi_Saat,Hafif_Kamyon_Suresi_Saat,Kamyonet_Suresi_Saat,target_delivery_days
Erzincan,Şanlıurfa,376,5.78,5.37,5.01,4.7,1
Eskişehir,Balıkesir,289,4.45,4.13,3.85,3.61,1
Eskişehir,Bilecik,79,1.22,1.13,1.05,0.99,1
Eskişehir,Denizli,326,5.02,4.66,4.35,4.08,1
Eskişehir,Erzincan,982,15.11,14.03,13.09,12.28,2
Eskişehir,Isparta,286,4.4,4.09,3.81,3.58,1
Eskişehir,Karaman,476,7.32,6.8,6.35,5.95,1
Eskişehir,Kocaeli,154,2.37,2.2,2.05,1.93,1
Eskişehir,Kütahya,77,1.18,1.1,1.03,0.96,1
Eskişehir,Manisa,379,5.83,5.41,5.05,4.74,1
Eskişehir,Mardin,1189,18.29,16.99,15.85,14.86,2
Eskişehir,Mersin,624,9.6,8.91,8.32,7.8,1
Eskişehir,Sivas,711,10.94,10.16,9.48,8.89,1
Eskişehir,Tekirdağ,368,5.66,5.26,4.91,4.6,1
Eskişehir,Yalova,184,2.83,2.63,2.45,2.3,1
Eskişehir,Zonguldak,276,4.25,3.94,3.68,3.45,1
Eskişehir,İstanbul,242,3.72,3.46,3.23,3.02,1
Eskişehir,Şanlıurfa,994,15.29,14.2,13.25,12.43,2
Isparta,Balıkesir,400,6.15,5.71,5.33,5.0,1
Isparta,Bilecik,345,5.31,4.93,4.6,4.31,1
Isparta,Denizli,165,2.54,2.36,2.2,2.06,1
Isparta,Erzincan,1032,15.88,14.74,13.76,12.9,2
Isparta,Eskişehir,286,4.4,4.09,3.81,3.58,1
Isparta,Karaman,312,4.8,4.46,4.16,3.9,1
Isparta,Kocaeli,432,6.65,6.17,5.76,5.4,1
Isparta,Kütahya,245,3.77,3.5,3.27,3.06,1
Isparta,Manisa,370,5.69,5.29,4.93,4.62,1
Isparta,Mardin,1150,17.69,16.43,15.33,14.38,2
Isparta,Mersin,482,7.42,6.89,6.43,6.03,1
Isparta,Sivas,770,11.85,11.0,10.27,9.62,1
Isparta,Tekirdağ,567,8.72,8.1,7.56,7.09,1
Isparta,Yalova,435,6.69,6.21,5.8,5.44,1
Isparta,Zonguldak,543,8.35,7.76,7.24,6.79,1
Isparta,İstanbul,493,7.58,7.04,6.57,6.16,1
Isparta,Şanlıurfa,934,14.37,13.34,12.45,11.68,2
Karaman,Balıkesir,691,10.63,9.87,9.21,8.64,1
Karaman,Bilecik,555,8.54,7.93,7.4,6.94,1
Karaman,Denizli,475,7.31,6.79,6.33,5.94,1
Karaman,Erzincan,789,12.14,11.27,10.52,9.86,2
Karaman,Eskişehir,476,7.32,6.8,6.35,5.95,1
Karaman,Isparta,312,4.8,4.46,4.16,3.9,1
Karaman,Kocaeli,626,9.63,8.94,8.35,7.83,1
Karaman,Kütahya,482,7.42,6.89,6.43,6.03,1
Karaman,Manisa,682,10.49,9.74,9.09,8.53,1
Karaman,Mardin,851,13.09,12.16,11.35,10.64,2
Karaman,Mersin,170,2.62,2.43,2.27,2.12,1
Karaman,Sivas,559,8.6,7.99,7.45,6.99,1
Karaman,Tekirdağ,830,12.77,11.86,11.07,10.38,2
Karaman,Yalova,660,10.15,9.43,8.8,8.25,1
Karaman,Zonguldak,628,9.66,8.97,8.37,7.85,1
Karaman,İstanbul,718,11.05,10.26,9.57,8.97,1
Karaman,Şanlıurfa,632,9.72,9.03,8.43,7.9,1
Kocaeli,Balıkesir,274,4.22,3.91,3.65,3.42,1
Kocaeli,Bilecik,88,1.35,1.26,1.17,1.1,1
Kocaeli,Denizli,436,6.71,6.23,5.81,5.45,1
Kocaeli,Erzincan,1048,16.12,14.97,13.97,13.1,2
Kocaeli,Eskişehir,154,2.37,2.2,2.05,1.93,1
Kocaeli,Isparta,432,6.65,6.17,5.76,5.4,1
Kocaeli,Karaman,626,9.63,8.94,8.35,7.83,1
Kocaeli,Kütahya,191,2.94,2.73,2.55,2.39,1
Kocaeli,Manisa,411,6.32,5.87,5.48,5.14,1
Kocaeli,Mardin,1289,19.83,18.41,17.19,16.11,2
Kocaeli,Mersin,767,11.8,10.96,10.23,9.59,1
Kocaeli,Sivas,782,12.03,11.17,10.43,9.78,2
Kocaeli,Tekirdağ,263,4.05,3.76,3.51,3.29,1
Kocaeli,Yalova,75,1.15,1.07,1.0,0.94,1
Kocaeli,Zonguldak,222,3.42,3.17,2.96,2.77,1
Kocaeli,İstanbul,109,1.68,1.56,1.45,1.36,1
Kocaeli,Şanlıurfa,1105,17.0,15.79,14.73,13.81,2
Kütahya,Balıkesir,233,3.58,3.33,3.11,2.91,1
Kütahya,Bilecik,103,1.58,1.47,1.37,1.29,1
Kütahya,Denizli,255,3.92,3.64,3.4,3.19,1
Kütahya,Erzincan,1044,16.06,14.91,13.92,13.05,2
Kütahya,Eskişehir,77,1.18,1.1,1.03,0.96,1
Kütahya,Isparta,245,3.77,3.5,3.27,3.06,1
Kütahya,Karaman,482,7.42,6.89,6.43,6.03,1
Kütahya,Kocaeli,191,2.94,2.73,2.55,2.39,1
Kütahya,Manisa,305,4.69,4.36,4.07,3.81,1
Kütahya,Mardin,1236,19.02,17.66,16.48,15.45,2
Kütahya,Mersin,640,9.85,9.14,8.53,8.0,1
Kütahya,Sivas,773,11.89,11.04,10.31,9.66,1
Kütahya,Tekirdağ,348,5.35,4.97,4.64,4.35,1
Kütahya,Yalova,191,2.94,2.73,2.55,2.39,1
Kütahya,Zonguldak,350,5.38,5.0,4.67,4.38,1
Kütahya,İstanbul,251,3.86,3.59,3.35,3.14,1
Kütahya,Şanlıurfa,1035,15.92,14.79,13.8,12.94,2
Manisa,Balıkesir,155,2.38,2.21,2.07,1.94,1
Manisa,Bilecik,355,5.46,5.07,4.73,4.44,1
Manisa,Denizli,221,3.4,3.16,2.95,2.76,1
Manisa,Erzincan,1340,20.62,19.14,17.87,16.75,2
Manisa,Eskişehir,379,5.83,5.41,5.05,4.74,1
Manisa,Isparta,370,5.69,5.29,4.93,4.62,1
Manisa,Karaman,682,10.49,9.74,9.09,8.53,1
Manisa,Kocaeli,411,6.32,5.87,5.48,5.14,1
Manisa,Kütahya,305,4.69,4.36,4.07,3.81,1
Manisa,Mardin,1503,23.12,21.47,20.04,18.79,2
Manisa,Mersin,852,13.11,12.17,11.36,10.65,2
Manisa,Sivas,1069,16.45,15.27,14.25,13.36,2
Manisa,Tekirdağ,337,5.18,4.81,4.49,4.21,1
Manisa,Yalova,352,5.42,5.03,4.69,4.4,1
Manisa,Zonguldak,624,9.6,8.91,8.32,7.8,1
Manisa,İstanbul,380,5.85,5.43,5.07,4.75,1
Manisa,Şanlıurfa,1292,19.88,18.46,17.23,16.15,2
Mardin,Balıkesir,1469,22.6,20.99,19.59,18.36,2
Mardin,Bilecik,1259,19.37,17.99,16.79,15.74,2
Mardin,Denizli,1315,20.23,18.79,17.53,16.44,2
Mardin,Erzincan,373,5.74,5.33,4.97,4.66,1
Mardin,Eskişehir,1189,18.29,16.99,15.85,14.86,2
Mardin,Isparta,1150,17.69,16.43,15.33,14.38,2
Mardin,Karaman,851,13.09,12.16,11.35,10.64,2
Mardin,Kocaeli,1289,19.83,18.41,17.19,16.11,2
Mardin,Kütahya,1236,19.02,17.66,16.48,15.45,2
Mardin,Manisa,1503,23.12,21.47,20.04,18.79,2
Mardin,Mersin,695,10.69,9.93,9.27,8.69,1
Mardin,Sivas,540,8.31,7.71,7.2,6.75,1
Mardin,Tekirdağ,1548,23.82,22.11,20.64,19.35,2
Mardin,Yalova,1353,20.82,19.33,18.04,16.91,2
Mardin,Zonguldak,1145,17.62,16.36,15.27,14.31,2
Mardin,İstanbul,1398,21.51,19.97,18.64,17.48,2
Mardin,Şanlıurfa,221,3.4,3.16,2.95,2.76,1
Mersin,Balıkesir,856,13.17,12.23,11.41,10.7,2
Mersin,Bilecik,703,10.82,10.04,9.37,8.79,1
Mersin,Denizli,644,9.91,9.2,8.59,8.05,1
Mersin,Erzincan,685,10.54,9.79,9.13,8.56,1
Mersin,Eskişehir,624,9.6,8.91,8.32,7.8,1
Mersin,Isparta,482,7.42,6.89,6.43,6.03,1
Mersin,Karaman,170,2.62,2.43,2.27,2.12,1
Mersin,Kocaeli,767,11.8,10.96,10.23,9.59,1
Mersin,Kütahya,640,9.85,9.14,8.53,8.0,1
Mersin,Manisa,852,13.11,12.17,11.36,10.65,2
Mersin,Mardin,695,10.69,9.93,9.27,8.69,1
Mersin,Sivas,495,7.62,7.07,6.6,6.19,1
Mersin,Tekirdağ,987,15.18,14.1,13.16,12.34,2
Mersin,Yalova,809,12.45,11.56,10.79,10.11,2
Mersin,Zonguldak,732,11.26,10.46,9.76,9.15,1
Mersin,İstanbul,866,13.32,12.37,11.55,10.82,2
Mersin,Şanlıurfa,475,7.31,6.79,6.33,5.94,1
Sivas,Balıkesir,1000,15.38,14.29,13.33,12.5,2
Sivas,Bilecik,770,11.85,11.0,10.27,9.62,1
Sivas,Denizli,923,14.2,13.19,12.31,11.54,2
Sivas,Erzincan,272,4.18,3.89,3.63,3.4,1
Sivas,Eskişehir,711,10.94,10.16,9.48,8.89,1
Sivas,Isparta,770,11.85,11.0,10.27,9.62,1
Sivas,Karaman,559,8.6,7.99,7.45,6.99,1
Sivas,Kocaeli,782,12.03,11.17,10.43,9.78,2
Sivas,Kütahya,773,11.89,11.04,10.31,9.66,1
Sivas,Manisa,1069,16.45,15.27,14.25,13.36,2
Sivas,Mardin,540,8.31,7.71,7.2,6.75,1
Sivas,Mersin,495,7.62,7.07,6.6,6.19,1
Sivas,Tekirdağ,1045,16.08,14.93,13.93,13.06,2
Sivas,Yalova,852,13.11,12.17,11.36,10.65,2
Sivas,Zonguldak,614,9.45,8.77,8.19,7.67,1
Sivas,İstanbul,890,13.69,12.71,11.87,11.12,2
Sivas,Şanlıurfa,417,6.42,5.96,5.56,5.21,1
Tekirdağ,Balıkesir,194,2.98,2.77,2.59,2.42,1
Tekirdağ,Bilecik,292,4.49,4.17,3.89,3.65,1
Tekirdağ,Denizli,488,7.51,6.97,6.51,6.1,1
Tekirdağ,Erzincan,1310,20.15,18.71,17.47,16.38,2
Tekirdağ,Eskişehir,368,5.66,5.26,4.91,4.6,1
Tekirdağ,Isparta,567,8.72,8.1,7.56,7.09,1
Tekirdağ,Karaman,830,12.77,11.86,11.07,10.38,2
Tekirdağ,Kocaeli,263,4.05,3.76,3.51,3.29,1
Tekirdağ,Kütahya,348,5.35,4.97,4.64,4.35,1
Tekirdağ,Manisa,337,5.18,4.81,4.49,4.21,1
Tekirdağ,Mardin,1548,23.82,22.11,20.64,19.35,2
Tekirdağ,Mersin,987,15.18,14.1,13.16,12.34,2
Tekirdağ,Sivas,1045,16.08,14.93,13.93,13.06,2
Tekirdağ,Yalova,194,2.98,2.77,2.59,2.42,1
Tekirdağ,Zonguldak,463,7.12,6.61,6.17,5.79,1
Tekirdağ,İstanbul,157,2.42,2.24,2.09,1.96,1
Tekirdağ,Şanlıurfa,1358,20.89,19.4,18.11,16.98,2
Yalova,Balıkesir,207,3.18,2.96,2.76,2.59,1
Yalova,Bilecik,106,1.63,1.51,1.41,1.32,1
Yalova,Denizli,409,6.29,5.84,5.45,5.11,1
Yalova,Erzincan,1119,17.22,15.99,14.92,13.99,2
Yalova,Eskişehir,184,2.83,2.63,2.45,2.3,1
Yalova,Isparta,435,6.69,6.21,5.8,5.44,1
Yalova,Karaman,660,10.15,9.43,8.8,8.25,1
Yalova,Kocaeli,75,1.15,1.07,1.0,0.94,1
Yalova,Kütahya,191,2.94,2.73,2.55,2.39,1
Yalova,Manisa,352,5.42,5.03,4.69,4.4,1
Yalova,Mardin,1353,20.82,19.33,18.04,16.91,2
Yalova,Mersin,809,12.45,11.56,10.79,10.11,2
Yalova,Sivas,852,13.11,12.17,11.36,10.65,2
Yalova,Tekirdağ,194,2.98,2.77,2.59,2.42,1
Yalova,Zonguldak,295,4.54,4.21,3.93,3.69,1
Yalova,İstanbul,60,0.92,0.86,0.8,0.75,1
Yalova,Şanlıurfa,1165,17.92,16.64,15.53,14.56,2
Zonguldak,Balıkesir,495,7.62,7.07,6.6,6.19,1
Zonguldak,Bilecik,271,4.17,3.87,3.61,3.39,1
Zonguldak,Denizli,602,9.26,8.6,8.03,7.53,1
Zonguldak,Erzincan,867,13.34,12.39,11.56,10.84,2
Zonguldak,Eskişehir,276,4.25,3.94,3.68,3.45,1
Zonguldak,Isparta,543,8.35,7.76,7.24,6.79,1
Zonguldak,Karaman,628,9.66,8.97,8.37,7.85,1
Zonguldak,Kocaeli,222,3.42,3.17,2.96,2.77,1
Zonguldak,Kütahya,350,5.38,5.0,4.67,4.38,1
Zonguldak,Manisa,624,9.6,8.91,8.32,7.8,1
Zonguldak,Mardin,1145,17.62,16.36,15.27,14.31,2
Zonguldak,Mersin,732,11.26,10.46,9.76,9.15,1
Zonguldak,Sivas,614,9.45,8.77,8.19,7.67,1
Zonguldak,Tekirdağ,463,7.12,6.61,6.17,5.79,1
Zonguldak,Yalova,295,4.54,4.21,3.93,3.69,1
Zonguldak,İstanbul,309,4.75,4.41,4.12,3.86,1
Zonguldak,Şanlıurfa,982,15.11,14.03,13.09,12.28,2
İstanbul,Balıkesir,227,3.49,3.24,3.03,2.84,1
İstanbul,Bilecik,164,2.52,2.34,2.19,2.05,1
İstanbul,Denizli,460,7.08,6.57,6.13,5.75,1
İstanbul,Erzincan,1154,17.75,16.49,15.39,14.43,2
İstanbul,Eskişehir,242,3.72,3.46,3.23,3.02,1
İstanbul,Isparta,493,7.58,7.04,6.57,6.16,1
İstanbul,Karaman,718,11.05,10.26,9.57,8.97,1
İstanbul,Kocaeli,109,1.68,1.56,1.45,1.36,1
İstanbul,Kütahya,251,3.86,3.59,3.35,3.14,1
İstanbul,Manisa,380,5.85,5.43,5.07,4.75,1
İstanbul,Mardin,1398,21.51,19.97,18.64,17.48,2
İstanbul,Mersin,866,13.32,12.37,11.55,10.82,2
İstanbul,Sivas,890,13.69,12.71,11.87,11.12,2
İstanbul,Tekirdağ,157,2.42,2.24,2.09,1.96,1
İstanbul,Yalova,60,0.92,0.86,0.8,0.75,1
İstanbul,Zonguldak,309,4.75,4.41,4.12,3.86,1
İstanbul,Şanlıurfa,1213,18.66,17.33,16.17,15.16,2
Şanlıurfa,Balıkesir,1266,19.48,18.09,16.88,15.82,2
Şanlıurfa,Bilecik,1067,16.42,15.24,14.23,13.34,2
Şanlıurfa,Denizli,1100,16.92,15.71,14.67,13.75,2
Şanlıurfa,Erzincan,376,5.78,5.37,5.01,4.7,1
Şanlıurfa,Eskişehir,994,15.29,14.2,13.25,12.43,2
Şanlıurfa,Isparta,934,14.37,13.34,12.45,11.68,2
Şanlıurfa,Karaman,632,9.72,9.03,8.43,7.9,1
Şanlıurfa,Kocaeli,1105,17.0,15.79,14.73,13.81,2
Şanlıurfa,Kütahya,1035,15.92,14.79,13.8,12.94,2
Şanlıurfa,Manisa,1292,19.88,18.46,17.23,16.15,2
Şanlıurfa,Mardin,221,3.4,3.16,2.95,2.76,1
Şanlıurfa,Mersin,475,7.31,6.79,6.33,5.94,1
Şanlıurfa,Sivas,417,6.42,5.96,5.56,5.21,1
Şanlıurfa,Tekirdağ,1358,20.89,19.4,18.11,16.98,2
Şanlıurfa,Yalova,1165,17.92,16.64,15.53,14.56,2
Şanlıurfa,Zonguldak,982,15.11,14.03,13.09,12.28,2
Şanlıurfa,İstanbul,1213,18.66,17.33,16.17,15.16,2
